"동별(1)",동별(2),동별(3),2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4426007,9736027,4721977,5014050,9509458,4618040,4891418,226569,103937,122632
"합계",종로구,소계,73494,153789,74186,79603,144683,70183,74500,9106,4003,5103
"합계",종로구,사직동,4696,9636,4353,5283,9372,4200,5172,264,153,111
"합계",종로구,삼청동,1229,2739,1302,1437,2456,1168,1288,283,134,149
"합계",종로구,부암동,4265,9782,4686,5096,9579,4570,5009,203,116,87
"합계",종로구,평창동,7509,18329,8542,9787,18152,8457,9695,177,85,92
"합계",종로구,무악동,3069,8297,3856,4441,8259,3841,4418,38,15,23
"합계",종로구,교남동,4458,10203,4716,5487,10046,4634,5412,157,82,75
"합계",종로구,가회동,1991,4194,1939,2255,4088,1884,2204,106,55,51
"합계",종로구,종로1.2.3.4가동,5247,8595,4956,3639,7197,4251,2946,1398,705,693
"합계",종로구,종로5.6가동,3385,5476,2922,2554,5089,2720,2369,387,202,185
"합계",종로구,이화동,4298,7705,3598,4107,7231,3419,3812,474,179,295
"합계",종로구,창신1동,2823,5631,3006,2625,4891,2626,2265,740,380,360
"합계",종로구,창신2동,4043,9051,4631,4420,7911,4082,3829,1140,549,591
"합계",종로구,창신3동,2798,6733,3341,3392,6575,3242,3333,158,99,59
"합계",종로구,숭인1동,2970,6106,2916,3190,5837,2811,3026,269,105,164
"합계",종로구,숭인2동,6285,10175,5031,5144,9639,4848,4791,536,183,353
"합계",종로구,청운효자동,5241,12177,5630,6547,11978,5526,6452,199,104,95
"합계",종로구,혜화동,9187,18960,8761,10199,16383,7904,8479,2577,857,1720
"합계",중구,소계,63519,131787,64083,67704,122499,59630,62869,9288,4453,4835
"합계",중구,소공동,1296,3367,1708,1659,2250,1077,1173,1117,631,486
"합계",중구,회현동,2748,5432,2822,2610,4784,2488,2296,648,334,314
"합계",중구,명동,1539,3742,1678,2064,2884,1262,1622,858,416,442
"합계",중구,필동,2479,4679,2354,2325,4023,2045,1978,656,309,347
"합계",중구,장충동,2750,5301,2678,2623,4590,2351,2239,711,327,384
"합계",중구,광희동,3390,6340,3236,3104,5255,2688,2567,1085,548,537
"합계",중구,을지로동,1345,1914,1130,784,1738,1048,690,176,82,94
"합계",중구,신당5동,5387,10708,5198,5510,10363,5051,5312,345,147,198
"합계",중구,황학동,7088,13444,6377,7067,12576,5997,6579,868,380,488
"합계",중구,중림동,5671,12351,6140,6211,12035,5985,6050,316,155,161
"합계",중구,신당동,4729,9095,4400,4695,7673,3782,3891,1422,618,804
"합계",중구,다산동,6886,14274,6912,7362,13798,6712,7086,476,200,276
"합계",중구,약수동,7834,16889,7861,9028,16676,7750,8926,213,111,102
"합계",중구,청구동,6287,13818,6552,7266,13588,6438,7150,230,114,116
"합계",중구,동화동,4090,10433,5037,5396,10266,4956,5310,167,81,86
"합계",용산구,소계,111036,237285,115085,122200,222953,107210,115743,14332,7875,6457
"합계",용산구,후암동,8465,17308,8444,8864,16833,8211,8622,475,233,242
"합계",용산구,용산2가동,5247,10775,5280,5495,9456,4569,4887,1319,711,608
"합계",용산구,남영동,5189,7825,4717,3108,7351,4471,2880,474,246,228
"합계",용산구,원효로2동,5985,13875,6526,7349,13751,6478,7273,124,48,76
"합계",용산구,효창동,4375,10156,4801,5355,10037,4748,5289,119,53,66
"합계",용산구,용문동,5377,11985,5726,6259,11863,5675,6188,122,51,71
"합계",용산구,이촌1동,9542,26632,12532,14100,25893,12119,13774,739,413,326
"합계",용산구,이촌2동,3693,8374,3916,4458,8303,3889,4414,71,27,44
"합계",용산구,이태원1동,3628,8126,4232,3894,6392,3110,3282,1734,1122,612
"합계",용산구,이태원2동,4918,10604,4982,5622,8997,4137,4860,1607,845,762
"합계",용산구,서빙고동,5322,13912,6679,7233,13051,6241,6810,861,438,423
"합계",용산구,보광동,7427,14708,7531,7177,13453,6691,6762,1255,840,415
"합계",용산구,청파동,11080,20076,9319,10757,19471,9114,10357,605,205,400
"합계",용산구,원효로1동,8105,16577,7917,8660,15950,7582,8368,627,335,292
"합계",용산구,한강로동,11713,23411,11214,12197,21763,10334,11429,1648,880,768
"합계",용산구,한남동,10970,22941,11269,11672,20389,9841,10548,2552,1428,1124
"합계",성동구,소계,134233,292672,142259,150413,285990,139380,146610,6682,2879,3803
"합계",성동구,왕십리2동,7411,16819,8115,8704,16475,7964,8511,344,151,193
"합계",성동구,마장동,10968,22991,11273,11718,22362,11039,11323,629,234,395
"합계",성동구,사근동,7945,13505,6737,6768,11915,6154,5761,1590,583,1007
"합계",성동구,행당1동,6468,14193,6819,7374,13904,6688,7216,289,131,158
"합계",성동구,행당2동,9220,23376,10943,12433,23280,10907,12373,96,36,60
"합계",성동구,응봉동,6063,15458,7374,8084,15408,7352,8056,50,22,28
"합계",성동구,금호1가동,6552,15315,7293,8022,15240,7260,7980,75,33,42
"합계",성동구,금호4가동,6370,14452,6866,7586,14325,6803,7522,127,63,64
"합계",성동구,성수1가1동,7784,16814,8417,8397,16514,8249,8265,300,168,132
"합계",성동구,성수1가2동,6175,12874,6309,6565,12643,6201,6442,231,108,123
"합계",성동구,성수2가1동,8163,16279,8479,7800,15806,8263,7543,473,216,257
"합계",성동구,성수2가3동,5554,10985,5540,5445,10757,5407,5350,228,133,95
"합계",성동구,송정동,5600,10915,5748,5167,10516,5551,4965,399,197,202
"합계",성동구,용답동,7075,12568,6430,6138,11647,6047,5600,921,383,538
"합계",성동구,왕십리도선동,11867,26910,12755,14155,26430,12552,13878,480,203,277
"합계",성동구,금호2.3가동,10118,22909,10895,12014,22735,10824,11911,174,71,103
"합계",성동구,옥수동,10900,26309,12266,14043,26033,12119,13914,276,147,129
"합계",광진구,소계,167949,352627,169317,183310,339996,164058,175938,12631,5259,7372
"합계",광진구,화양동,17777,26034,12009,14025,23138,11037,12101,2896,972,1924
"합계",광진구,군자동,11323,21500,10571,10929,19591,9689,9902,1909,882,1027
"합계",광진구,중곡1동,8378,15862,7667,8195,15496,7510,7986,366,157,209
"합계",광진구,중곡2동,10645,21739,10217,11522,21428,10105,11323,311,112,199
"합계",광진구,중곡3동,8461,16357,8077,8280,16135,7995,8140,222,82,140
"합계",광진구,중곡4동,13174,28954,14127,14827,28577,13991,14586,377,136,241
"합계",광진구,능동,6401,11619,5363,6256,11301,5211,6090,318,152,166
"합계",광진구,구의1동,12154,22139,10533,11606,21542,10254,11288,597,279,318
"합계",광진구,구의2동,11593,27008,13003,14005,26522,12797,13725,486,206,280
"합계",광진구,구의3동,12156,28891,13664,15227,28654,13563,15091,237,101,136
