"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4463385,9668008,4672170,4995838,9426404,4566299,4860105,241604,105871,135733,4465391,9667463,4670224,4997239,9422710,4563512,4859198,244753,106712,138041,4467999,9664963,4668113,4996850,9418885,4560702,4858183,246078,107411,138667
"합계",종로구,소계,72679,152212,72819,79393,141060,68170,72890,11152,4649,6503,72644,152013,72711,79302,140891,68079,72812,11122,4632,6490,72584,151745,72557,79188,140601,67923,72678,11144,4634,6510
"합계",종로구,사직동,4588,9371,4203,5168,9106,4050,5056,265,153,112,4584,9371,4203,5168,9104,4047,5057,267,156,111,4580,9378,4201,5177,9104,4040,5064,274,161,113
"합계",종로구,삼청동,1144,2616,1248,1368,2313,1101,1212,303,147,156,1138,2605,1244,1361,2301,1096,1205,304,148,156,1137,2597,1244,1353,2291,1094,1197,306,150,156
"합계",종로구,부암동,4122,9460,4485,4975,9148,4319,4829,312,166,146,4125,9448,4488,4960,9168,4334,4834,280,154,126,4127,9414,4473,4941,9133,4319,4814,281,154,127
"합계",종로구,평창동,7248,17743,8301,9442,17553,8201,9352,190,100,90,7238,17710,8283,9427,17520,8184,9336,190,99,91,7215,17654,8241,9413,17464,8143,9321,190,98,92
"합계",종로구,무악동,3014,8045,3704,4341,8014,3691,4323,31,13,18,3014,8037,3696,4341,8008,3684,4324,29,12,17,3013,8029,3693,4336,8000,3681,4319,29,12,17
"합계",종로구,교남동,4375,9925,4576,5349,9751,4482,5269,174,94,80,4377,9939,4579,5360,9764,4484,5280,175,95,80,4385,9932,4582,5350,9759,4488,5271,173,94,79
"합계",종로구,가회동,1944,4084,1903,2181,3962,1844,2118,122,59,63,1938,4064,1898,2166,3939,1835,2104,125,63,62,1937,4049,1885,2164,3926,1824,2102,123,61,62
"합계",종로구,종로1.2.3.4가동,4947,8711,5025,3686,6740,4099,2641,1971,926,1045,4951,8744,5032,3712,6737,4097,2640,2007,935,1072,4951,8714,5016,3698,6722,4091,2631,1992,925,1067
"합계",종로구,종로5.6가동,3593,5896,3092,2804,5401,2843,2558,495,249,246,3608,5898,3097,2801,5419,2857,2562,479,240,239,3620,5907,3108,2799,5426,2867,2559,481,241,240
"합계",종로구,이화동,4303,7651,3561,4090,7067,3345,3722,584,216,368,4292,7619,3554,4065,7046,3342,3704,573,212,361,4288,7627,3562,4065,7031,3340,3691,596,222,374
"합계",종로구,창신1동,2690,5400,2854,2546,4613,2447,2166,787,407,380,2703,5442,2872,2570,4630,2452,2178,812,420,392,2692,5419,2856,2563,4611,2439,2172,808,417,391
"합계",종로구,창신2동,4006,8760,4484,4276,7650,3937,3713,1110,547,563,4001,8728,4463,4265,7625,3921,3704,1103,542,561,3996,8702,4454,4248,7598,3911,3687,1104,543,561
"합계",종로구,창신3동,2776,6590,3237,3353,6436,3155,3281,154,82,72,2776,6584,3241,3343,6424,3154,3270,160,87,73,2772,6576,3230,3346,6417,3145,3272,159,85,74
"합계",종로구,숭인1동,2966,6069,2900,3169,5772,2783,2989,297,117,180,2974,6082,2906,3176,5778,2786,2992,304,120,184,2978,6082,2909,3173,5768,2784,2984,314,125,189
"합계",종로구,숭인2동,6584,10557,5035,5522,9812,4815,4997,745,220,525,6582,10563,5031,5532,9800,4804,4996,763,227,536,6562,10519,5003,5516,9754,4776,4978,765,227,538
"합계",종로구,청운효자동,5117,11764,5400,6364,11574,5301,6273,190,99,91,5109,11720,5378,6342,11531,5280,6251,189,98,91,5109,11703,5377,6326,11517,5282,6235,186,95,91
"합계",종로구,혜화동,9262,19570,8811,10759,16148,7757,8391,3422,1054,2368,9234,19459,8746,10713,16097,7722,8375,3362,1024,2338,9222,19443,8723,10720,16080,7699,8381,3363,1024,2339
