"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3080000","PHMH320123080033087500001","20121031","","03","폐업","03","폐업","20140219","","","","","","142864","서울특별시 강북구 번동 418번지 9호","서울특별시 강북구 도봉로 350 (번동)","142864","GS25 수유역점","2014-02-19 13:19:36","I","2018-08-31 23:59:59.0","","202286.63951403     ","459579.709768183    ",""
"3080000","PHMH320123080033087500002","20121101","","01","영업/정상","13","영업중","","","","","02-900-2511","","142864","서울특별시 강북구 번동 411번지 1호","서울특별시 강북구 덕릉로 159 (번동)","01067","GS25 번동위브점","2013-10-17 11:36:19","I","2018-08-31 23:59:59.0","","202702.983687961    ","459235.189057323    ",""
"3080000","PHMH320123080033087500003","20121101","","03","폐업","03","폐업","20121121","","","","02-907-7110","","142877","서울특별시 강북구 수유동 322번지 22호","서울특별시 강북구 삼양로 474 (수유동)","142877","세븐일레븐 수유장미원점","2013-10-17 11:37:29","I","2018-08-31 23:59:59.0","","201321.106958704    ","460348.079109232    ",""
"3080000","PHMH320123080033087500004","20121102","","01","영업/정상","13","영업중","","","","","02-990-1325","","142884","서울특별시 강북구 수유동 410번지 283호","서울특별시 강북구 삼각산로 81 (수유동)","01036","GS25 수유문화점","2013-10-17 11:36:56","I","2018-08-31 23:59:59.0","","201092.079121328    ","459768.079420827    ",""
"3080000","PHMH320123080033087500005","20121102","","03","폐업","03","폐업","20140523","","","","070-4110-7430","","142874","서울특별시 강북구 수유동 52번지 1호","서울특별시 강북구 덕릉로24길 37 (수유동)","142874","씨유","2014-05-23 11:10:24","I","2018-08-31 23:59:59.0","","201811.151102087    ","458962.835543942    ",""
"3080000","PHMH320123080033087500006","20121105","","04","취소/말소/만료/정지/중지","24","직권폐업","20190830","","","","02-988-5371","","142100","서울특별시 강북구 미아동 1357번지 10호","서울특별시 강북구 삼양로19길 138 (미아동)","01197","세븐일레븐 삼각산아이원점","2019-09-02 09:54:07","U","2019-09-04 02:40:00.0","","201333.309316392    ","457138.34427177     ",""
"3080000","PHMH320123080033087500007","20121106","","03","폐업","03","폐업","20150610","","","","02-982-0604","","142100","서울특별시 강북구 미아동 322번지 25호","서울특별시 강북구 도봉로29길 10 (미아동)","142100","GS25 미아햇빛점","2015-06-10 17:45:08","I","2018-08-31 23:59:59.0","","202373.209429338    ","457601.588650668    ",""
"3080000","PHMH320123080033087500008","2012-11-06","","03","폐업","03","폐업","2023-04-11","","","","02-997-8827","","142-878","서울특별시 강북구 수유동 192번지 4호","서울특별시 강북구 한천로139길 46 (수유동)","01072","씨유 수유중앙점","2023-04-12 11:34:19","U","2022-12-03 23:04:00.0","","202114.575261014","459591.251823455",""
"3080000","PHMH320123080033087500009","20121106","","01","영업/정상","13","영업중","","","","","070-4238-7244","","142100","서울특별시 강북구 미아동 323번지 19호","서울특별시 강북구 솔샘로67길 67 (미아동)","01177","세븐일레븐 도봉세무서점","2016-05-27 17:51:08","I","2018-08-31 23:59:59.0","","202356.950667705    ","457532.152745822    ",""
"3080000","PHMH320123080033087500010","20121106","","03","폐업","03","폐업","20151119","","","","02-983-4151","","142821","서울특별시 강북구 미아동 838번지 61호","서울특별시 강북구 솔샘로 215 (미아동)","01188","세븐일레븐 강북솔샘길점","2015-11-19 17:48:30","I","2018-08-31 23:59:59.0","","201396.611768245    ","457540.995756578    ",""
"3080000","PHMH320123080033087500011","20121106","","03","폐업","03","폐업","20180329","","","","02-903-7587","","142865","서울특별시 강북구 번동 460번지 17호","서울특별시 강북구 한천로 1000 (번동)","01059","GS25 번동예일점","2018-03-29 17:56:39","I","2018-08-31 23:59:59.0","","202607.278547158    ","459509.686719039    ",""
"3080000","PHMH320123080033087500012","20121107","","03","폐업","03","폐업","20180530","","","","","","142060","서울특별시 강북구 번동 269번지 2호","서울특별시 강북구 한천로109길 13 (번동)","01226","GS25 번동주공점","2018-05-31 16:38:35","I","2018-08-31 23:59:59.0","","203746.119397218    ","458437.076181289    ",""
"3080000","PHMH320123080033087500013","20121107","","01","영업/정상","13","영업중","","","","","02-991-7189","","142878","서울특별시 강북구 수유동 192번지 3호","서울특별시 강북구 한천로139나길 1 (수유동)","01072","GS25 강북구청점","2022-09-23 13:46:48","U","2021-12-08 22:05:00.0","","202158.404849077","459633.960977278",""
"3080000","PHMH320123080033087500014","20121107","","03","폐업","03","폐업","20131030","","","","02-903-5278","","142871","서울특별시 강북구 우이동 3번지 1호","서울특별시 강북구 삼양로 685 (우이동)","142871","미니스톱 우이유원지점","2013-10-30 18:08:40","I","2018-08-31 23:59:59.0","","200985.921174485    ","462369.166684114    ",""
"3080000","PHMH320123080033087500015","20121107","","03","폐업","03","폐업","20141006","","","","02-945-6762","","142810","서울특별시 강북구 미아동 215번지 5호","서울특별시 강북구 도봉로61길 11 (미아동)","142810","GS25 미아마을점","2014-10-06 14:06:50","I","2018-08-31 23:59:59.0","","202075.393542185    ","458480.832524367    ",""
"3080000","PHMH320123080033087500016","20121107","","03","폐업","03","폐업","20150721","","","","02-900-4928","","142877","서울특별시 강북구 수유동 220번지 19호","서울특별시 강북구 삼각산로 145 (수유동)","142877","GS25 강북벽산점","2015-07-21 16:51:42","I","2018-08-31 23:59:59.0","","201729.180305195    ","459888.59660506     ",""
"3080000","PHMH320123080033087500017","20121107","","04","취소/말소/만료/정지/중지","24","직권폐업","20190801","","","","02-900-0635","","142070","서울특별시 강북구 수유동 558번지 7호","서울특별시 강북구 인수봉로 303 (수유동)","01014","GS 수유행복점","2019-08-02 11:06:39","U","2019-08-04 02:40:00.0","","200852.44530733     ","460382.214862844    ",""
"3080000","PHMH320123080033087500018","20121107","","01","영업/정상","13","영업중","","","","","02-984-0288","","142100","서울특별시 강북구 미아동 1353번지","서울특별시 강북구 삼양로19길 157 (미아동)","01192","GS25 삼각산SK점","2021-06-09 11:30:13","U","2021-06-11 02:40:00.0","","201045.611312321    ","457292.961457264    ",""
"3080000","PHMH320123080033087500019","20121107","","03","폐업","03","폐업","20200130","","","","02-984-5747","","142817","서울특별시 강북구 미아동 637번지 290호","서울특별시 강북구 삼양로 116 (미아동)","01209","씨유 미아송천점","2020-01-30 11:53:27","U","2020-02-01 02:40:00.0","","201905.606011851    ","456871.461840582    ",""
"3080000","PHMH320123080033087500020","20121107","","03","폐업","03","폐업","20180831","","","","02-986-4071","","142807","서울특별시 강북구 미아동 125번지 40호","서울특별시 강북구 도봉로46길 9 (미아동)","01157","GS25 미아보람점","2018-08-31 17:08:45","I","2018-08-31 23:59:59.0","","202352.110642194    ","458037.918075335    ",""
"3080000","PHMH320123080033087500021","20121107","","03","폐업","03","폐업","20140923","","","","02-997-9764","","142871","서울특별시 강북구 우이동 165번지 4호","서울특별시 강북구 삼양로173길 39 (우이동)","142871","GS25 강북우이점","2014-09-23 16:35:23","I","2018-08-31 23:59:59.0","","200843.294253566    ","462226.287725886    ",""
"3080000","PHMH320123080033087500022","20121108","","03","폐업","03","폐업","20150120","","","","02-989-0682","","142100","서울특별시 강북구 미아동 679번지","서울특별시 강북구 솔샘로 274 (미아동)","142100","GS25 미아솔샘길점","2015-01-20 11:08:42","I","2018-08-31 23:59:59.0","","201954.720367912    ","457372.759134141    ",""
"3080000","PHMH320123080033087500023","20121108","","03","폐업","03","폐업","20181228","","","","02-906-2267","","142883","서울특별시 강북구 수유동 359번지 14호","서울특별시 강북구 인수봉로68길 37 (수유동)","01035","씨유 강북예술회관점","2018-12-28 10:46:52","U","2018-12-30 02:40:00.0","","201117.991837136    ","459877.229147626    ",""
"3080000","PHMH320123080033087500024","2012-11-08","","03","폐업","03","폐업","2023-03-28","","","","02-989-7972","","142-805","서울특별시 강북구 미아동 62번지 21호","서울특별시 강북구 도봉로13길 22 (미아동)","01205","GS25 미아타운점","2023-03-28 16:56:53","U","2022-12-02 21:00:00.0","","202508.11889912","456979.262449063",""
"3080000","PHMH320123080033087500025","20121108","","03","폐업","03","폐업","20140423","","","","02-991-4633","","142878","서울특별시 강북구 수유동 190번지 1호","서울특별시 강북구 한천로 1055-1 (수유동)","142878","GS25 수유이화점","2014-04-23 17:04:34","I","2018-08-31 23:59:59.0","","202146.24309535     ","459844.600778291    ",""
"3080000","PHMH320123080033087500026","20121108","","01","영업/정상","13","영업중","","","","","","","142816","서울특별시 강북구 미아동 760번지 28호","서울특별시 강북구 삼양로47길 23 (미아동)","01184","세븐일레븐 삼양복지점","2022-09-23 13:48:54","U","2021-12-08 22:05:00.0","","201498.528378405","457830.054368471",""
"3080000","PHMH320123080033087500027","20121109","","03","폐업","03","폐업","20211222","","","","02-989-7904","","142812","서울특별시 강북구 미아동 304번지 20호","서울특별시 강북구 솔매로 124 (미아동)","01170","(주)씨스페이시스 미아3점","2021-12-23 11:19:04","U","2021-12-25 02:40:00.0","","202204.380245389    ","458186.924403567    ","0"
"3080000","PHMH320123080033087500028","20121109","","03","폐업","03","폐업","20150608","","","","02-990-2505","","142878","서울특별시 강북구 수유동 224번지 15호","서울특별시 강북구 노해로8길 29 (수유동)","142878","GS25 수유현대점","2015-06-09 10:46:24","I","2018-08-31 23:59:59.0","","202066.032206268    ","459574.807943486    ",""
"3080000","PHMH320123080033087500029","20121109","","03","폐업","03","폐업","20150715","","","","02-999-2050","","142877","서울특별시 강북구 수유동 231번지 1호","서울특별시 강북구 노해로 87 (수유동)","142877","GS25 수유중앙점","2015-07-15 14:43:36","I","2018-08-31 23:59:59.0","","201897.940868829    ","460144.594236497    ",""
