"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3210000","PHMH320123210034087500001","20121109","","03","폐업","03","폐업","20180531","","","","02-595-3624","","137803","서울특별시 서초구 반포동 58번지 7호 101호","서울특별시 서초구 고무래로 6-3, 101호 (반포동)","06593","미니스톱반포삼공점","2018-05-31 17:49:30","I","2018-08-31 23:59:59.0","","200802.012147961    ","444616.351633551    ",""
"3210000","PHMH320123210034087500002","20121106","","01","영업/정상","13","영업중","","","","","02-3478-0171","","137883","서울특별시 서초구 서초동 1697번지 1호","서울특별시 서초구 서초중앙로28길 10 (서초동)","06604","씨유삼풍중앙점","2013-07-20 17:25:08","I","2018-08-31 23:59:59.0","","201196.372595517    ","443842.273375452    ",""
"3210000","PHMH320123210034087500003","20121106","","03","폐업","03","폐업","20171213","","","","","","137903","서울특별시 서초구 잠원동 24번지 23호 성일빌딩 104호","서울특별시 서초구 강남대로97길 51, 104호 (잠원동, 성일빌딩)","06527","지에스25잠원중앙점","2017-12-13 17:24:37","I","2018-08-31 23:59:59.0","","201423.095915857    ","445747.055018115    ",""
"3210000","PHMH320123210034087500004","20121106","","03","폐업","03","폐업","20140527","","","","070-7116-1666","","137808","서울특별시 서초구 반포동 709번지 8호 호산빌딩","서울특별시 서초구 사평대로55길 123, 1층 (반포동, 호산빌딩)","137808","세븐일레븐반포공원점","2014-05-27 17:24:50","I","2018-08-31 23:59:59.0","","201728.921505271    ","445223.619965944    ",""
"3210000","PHMH320123210034087500005","20121106","","04","취소/말소/만료/정지/중지","24","직권폐업","20180824","","","","","","137847","서울특별시 서초구 방배동 978번지 42호","서울특별시 서초구 효령로 79, 1층 (방배동)","06688","지에스25방배대우점","2018-08-27 09:49:49","I","2018-08-31 23:59:59.0","","199307.919781535    ","441998.710522475    ",""
"3210000","PHMH320123210034087500006","20121106","","01","영업/정상","13","영업중","","","","","02-585-2243","","137874","서울특별시 서초구 서초동 1571번지 5호","서울특별시 서초구 반포대로28길 63 (서초동)","06645","씨유서초남양점","2013-07-20 14:46:51","I","2018-08-31 23:59:59.0","","200969.631260214    ","443277.956764365    ",""
"3210000","PHMH320123210034087500007","20121106","","01","영업/정상","13","영업중","","","","","02-579-7602","","137886","서울특별시 서초구 양재동 5번지 8호","서울특별시 서초구 논현로31길 63 (양재동)","06745","지에스25양재현대","2022-09-23 15:15:50","U","2021-12-08 22:05:00.0","","203515.938526942","441983.705306441",""
"3210000","PHMH320123210034087500008","20121106","","03","폐업","03","폐업","20140501","","","","","","137834","서울특별시 서초구 방배동 830번지 3호","서울특별시 서초구 방배천로 160, 101호 (방배동)","137834","지에스25방배고려점","2014-05-01 18:03:42","I","2018-08-31 23:59:59.0","","198824.369992673    ","443011.4715961      ",""
"3210000","PHMH320123210034087500009","20121106","","04","취소/말소/만료/정지/중지","24","직권폐업","20171110","","","","02-532-9074","","137832","서울특별시 서초구 방배동 819번지 32호","서울특별시 서초구 방배로31길 54, 1층 (방배동, 미진빌딩)","06563","씨유서초방배점","2017-11-10 17:25:54","I","2018-08-31 23:59:59.0","","198935.797603079    ","443096.564616173    ",""
"3210000","PHMH320123210034087500010","20121106","","03","폐업","03","폐업","20170620","","","","","","137888","서울특별시 서초구 양재동 20번지 29호","서울특별시 서초구 강남대로 156-2 (양재동, 은성빌딩)","06744","지에스25양재은성","2017-06-21 18:17:22","I","2018-08-31 23:59:59.0","","203387.555054125    ","441822.527271293    ",""
