"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3010000","PHMH320123010033087500001","20121116","","03","폐업","03","폐업","20221206","","","","","","100180","서울특별시 중구 다동 155번지 1층 109호","서울특별시 중구 남대문로9길 40, 1층 109호 (다동)","04522","(주)코리아세븐 무교YG타워점","2022-12-06 18:48:10","U","2021-11-02 00:08:00.0","","198193.534402364","451650.955791238",""
"3010000","PHMH320123010033087500002","20121116","","03","폐업","03","폐업","20130315","","","","02-773-9501","","100845","서울특별시 중구 을지로2가 196번지 장원빌딩 1층","서울특별시 중구 을지로 56 (을지로2가)","100845","(주)바이더웨이 명동채원점","2013-12-11 15:11:47","I","2018-08-31 23:59:59.0","","198515.399763419    ","451515.109154277    ","0"
"3010000","PHMH320123010033087500003","20121116","","01","영업/정상","13","영업중","","","","","02-318-6891","","","서울특별시 중구 회현동1가 206번지 회현SK리더스뷰 102호","서울특별시 중구 퇴계로 72 (회현동1가, 회현SK리더스뷰)","04632","(주)코리아세븐 회현SK점","2016-05-27 09:13:05","I","2018-08-31 23:59:59.0","","198219.475276246    ","450761.443791768    ","49.5"
"3010000","PHMH320123010033087500004","20121116","","03","폐업","03","폐업","20211130","","","","02-2265-4323","","100015","서울특별시 중구 충무로5가 78번지 1호","서울특별시 중구 서애로 2 (충무로5가)","04624","(주)코리아세븐 동국대점","2021-11-30 15:57:29","U","2021-12-02 02:40:00.0","","199780.053397083    ","451065.831247269    ","49.5"
"3010000","PHMH320123010033087500005","20121116","","03","폐업","03","폐업","20180109","","","","02-2266-5873","","100411","서울특별시 중구 광희동1가 258번지 1호","서울특별시 중구 마른내로 152-2 (광희동1가)","04560","(주)코리아세븐 광희점","2018-01-09 16:21:47","I","2018-08-31 23:59:59.0","","200361.552518118    ","451369.793534567    ","49.5"
"3010000","PHMH320123010033087500006","20121116","","03","폐업","03","폐업","20151104","","","","02-2232-0211","","100828","서울특별시 중구 신당동 360번지 2호","서울특별시 중구 동호로 193 (신당동)","04598","(주)바이더웨이 약수점","2015-11-04 17:42:24","I","2018-08-31 23:59:59.0","","200809.411043139    ","450318.80879106     ","49.5"
"3010000","PHMH320123010033087500007","20121116","","01","영업/정상","13","영업중","","","","","02-2256-2363","","","서울특별시 중구 신당동 844","서울특별시 중구 다산로 32, B-101호 (신당동, 남산타운)","04595","(주)코리아세븐 신당2호점","2022-11-09 21:11:41","U","2021-10-31 23:01:00.0","","200750.455125653","449638.824308081",""
"3010000","PHMH320123010033087500008","20121116","","03","폐업","03","폐업","20160211","","","","02-733-2412","","100091","서울특별시 중구 남대문로1가 22번지 10호","서울특별시 중구 남대문로 112 (남대문로1가)","04540","(주)바이더웨이 태평로점","2016-02-11 19:57:35","I","2018-08-31 23:59:59.0","","198429.971915327    ","451654.194861108    ","49.5"
"3010000","PHMH320123010033087500009","20121116","","03","폐업","03","폐업","20190422","","","","02-2232-0711","","100890","서울특별시 중구 신당동 304번지 408호","서울특별시 중구 다산로29길 14 (신당동)","04610","(주)바이더웨이 청구점","2019-04-22 17:12:33","U","2019-04-24 02:40:00.0","","201102.110573624    ","450984.49919925     ","0"
"3010000","PHMH320123010033087500010","20121116","","01","영업/정상","13","영업중","","","","","02-2236-6770","","100897","서울특별시 중구 신당동 48번지 1호","서울특별시 중구 다산로36길 53 (신당동)","04585","(주)코리아세븐 신당점","2022-10-05 22:07:02","U","2021-10-31 00:07:00.0","","201508.033038745","451026.785607118",""
