"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)"
"3230000","CDFH3301262017000001","2017-03-31","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 송파구 올림픽로 300 (신천동)","05551","시그니엘서울 피트니스클럽","2023-02-14 17:43:25","U","2022-12-01 23:06:00.0","","",""
"3000000","CDFH3301262007000002","20070705","","03","폐업","03","폐업","20080317","","","","733-8111","","110080","서울특별시 종로구 무악동 82번지 무악현대프라자 ","","","(주)나비스포렉스","2009-01-08 10:33:23","I","2018-08-31 23:59:59.0","","196467.975088253    ","452566.134030104    "
"3220000","CDFH3301262022000001","20220421","","01","영업/정상","13","영업중","","","","","02-1544-4656","","","서울특별시 강남구 개포동 1273 포이초등학교","서울특별시 강남구 개포로22길 87, 포이초등학교 (개포동)","06311","포이스포츠센터","2022-04-21 09:12:41","I","2021-12-03 22:03:00.0","","204558.513478279","441491.962568552"
"3050000","CDFH3301262014000001","20141125","","01","영업/정상","13","영업중","","","","","2217-3300","","130804","서울특별시 동대문구 답십리동 463-1","서울특별시 동대문구 천호대로47길 34 (답십리동)","02592","(주)코리아비젼스윔(지점)","2022-11-24 19:15:15","U","2021-10-31 22:06:00.0","","203831.531062343","452388.114511866"
"3080000","CDFH3301262021000001","20210826","","01","영업/정상","13","영업중","","","","","02-3408-5000","","","서울특별시 강북구 우이동 346 파라스파라 서울","서울특별시 강북구 삼양로 689, 파라스파라 서울 (우이동)","01000","(주)정상북한산리조트 파라스파라 서울","2022-12-12 14:23:13","U","2021-11-01 23:04:00.0","","200704.539774217","462416.392839185"
"3220000","CDFH3301262001000001","2001-01-29","","01","영업/정상","13","영업중","","","","","02-3412-2171","","135-938","서울특별시 강남구 일원동 4-1","서울특별시 강남구 남부순환로 3318 (일원동)","06340","강남주민편익시설(48)","2023-04-03 14:37:51","U","2022-12-04 00:05:00.0","","",""
"3220000","CDFH3301262016000001","20161006","","01","영업/정상","13","영업중","","","","","02-543-5991","","","서울특별시 강남구 청담동 27","서울특별시 강남구 삼성로135길 42 (청담동, 언북초등학교)","06066","언북문화체육센터","2022-04-11 14:21:12","U","2021-12-03 23:03:00.0","","203963.799944512","446416.151961396"
"3220000","CDFH3301262015000002","20150909","","01","영업/정상","13","영업중","","","","","0317807673","","","서울특별시 강남구 청담동 4-1 4~6층","서울특별시 강남구 도산대로 442, 4~6층 (청담동, 피엔폴루스)","06062","코오롱글로벌(주)스포렉스(53)","2022-04-19 12:41:09","U","2021-12-03 22:01:00.0","","203789.588128352","446796.128299612"
"3150000","CDFH3301262002000001","2002-01-10","","01","영업/정상","13","영업중","","","","","2660-9300","","157-290","서울특별시 강서구 외발산동 426 외 1필지(368-2)","서울특별시 강서구 방화대로 94 (외발산동, 외 1필지(368-2))","07506","메이필드호텔 휘트니스클럽","2023-04-20 09:27:50","U","2022-12-03 22:02:00.0","","183863.692502412","449443.610735042"
"3210000","CDFH3301262013000002","20131030","","01","영업/정상","13","영업중","","","","","535-2601~2","","137837","서울특별시 서초구 방배동 852-14 방배열린문화센터 지하1, 지상5.6.7층","서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터지하1,지상5,6,7층)","06572","코오롱글로벌(주)스포렉스 방배점","2022-04-19 17:35:08","U","2021-12-03 22:01:00.0","","199250.378045845","442973.400332687"
