"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3240000","PHMH320123240033087500001","20121119","","01","영업/정상","13","영업중","","","","","02-478-5873","","","서울특별시 강동구 길동 455번지","서울특별시 강동구 천호대로 1123 (길동, 건영빌딩)","05355","(주)코리아세븐 길동6호점","2016-07-15 15:31:30","I","2018-08-31 23:59:59.0","","211994.96973718     ","448095.346236752    ",""
"3240000","PHMH320123240033087500002","20121119","","03","폐업","03","폐업","20171129","","","","02-426-3370","","","","서울특별시 강동구 상암로 199 (명일동)","05295","(주)코리아세븐 명일은혜점","2017-11-29 16:54:08","I","2018-08-31 23:59:59.0","","212715.774466715    ","449389.108272702    ",""
"3240000","PHMH320123240033087500003","20121119","","03","폐업","03","폐업","20140331","","","","","","","","서울특별시 강동구 천호옛길 95 (성내동)","134840","씨유천호역점","2014-03-31 13:57:11","I","2018-08-31 23:59:59.0","","211065.993267856    ","448339.745462903    ",""
"3240000","PHMH320123240033087500004","20121115","","01","영업/정상","13","영업중","","","","","","","134021","서울특별시 강동구 천호동","서울특별시 강동구 상암로12길 32 (천호동)","05318","씨유 천호암사점","2019-04-16 09:26:44","U","2019-04-18 02:40:00.0","","211223.739911046    ","449560.557534795    ",""
"3240000","PHMH320123240033087500007","20121108","","03","폐업","03","폐업","20171208","","","","","","","","서울특별시 강동구 성내로6가길 38 (성내동)","05400","씨유 강동성내로점","2017-12-08 14:27:55","I","2018-08-31 23:59:59.0","","210902.824729995    ","447232.385450602    ",""
"3240000","PHMH320123240033087500009","20121119","","03","폐업","03","폐업","20141020","","","","","","134825","서울특별시 강동구 명일동 46번지 1호","서울특별시 강동구 고덕로 256 (명일동)","134825","(주)바이더웨이 고덕역점","2015-05-08 17:35:46","I","2018-08-31 23:59:59.0","","213545.481603233    ","450269.25482135     ",""
"3240000","PHMH320123240033087500011","20121113","","03","폐업","03","폐업","20141104","","","","","","","","서울특별시 강동구 강동대로53길 22 (성내동)","134846","씨유성내중앙점","2014-11-04 17:26:14","I","2018-08-31 23:59:59.0","","211603.733911813    ","446841.160845582    ",""
"3240000","PHMH320123240033087500013","20121119","","03","폐업","03","폐업","20141204","","","","","","134814","서울특별시 강동구 길동 457번지 4호","서울특별시 강동구 천호대로 1131 (길동)","134814","(주)바이더웨이 길동사거리점","2015-05-08 17:33:24","I","2018-08-31 23:59:59.0","","212060.935103152    ","448068.174635177    ",""
"3240000","PHMH320123240033087500014","20121126","","03","폐업","03","폐업","20141216","","","","","","134861","서울특별시 강동구 천호동 46번지 23호","서울특별시 강동구 양재대로125길 31 (천호동)","134861","GS25 천호명성점","2015-05-08 17:55:09","I","2018-08-31 23:59:59.0","","212347.982239428    ","449143.259542227    ",""
"3240000","PHMH320123240033087500015","20121108","","03","폐업","03","폐업","20141222","","","","","","","","서울특별시 강동구 고덕로97길 20 (강일동)","134740","GS25 강일파크","2014-12-22 17:51:53","I","2018-08-31 23:59:59.0","","216029.38802100000  ","451319.01856200000  ",""
"3240000","PHMH320123240033087500016","20121119","","03","폐업","03","폐업","20141231","","","","","","134869","서울특별시 강동구 천호동 357번지 12호","서울특별시 강동구 올림픽로 686 (천호동)","134869","(주)바이더웨이 가톨릭병원점","2015-05-08 17:31:44","I","2018-08-31 23:59:59.0","","210986.405956836    ","448919.226364473    ",""
"3240000","PHMH320123240033087500017","20121122","","03","폐업","03","폐업","20150319","","","","","","","","서울특별시 강동구 올림픽로 749 (암사동)","134877","SK네트웍스(주)암사주유소","2015-03-19 17:11:24","I","2018-08-31 23:59:59.0","","211110.096076867    ","449569.593785722    ",""
"3240000","PHMH320123240033087500018","20121122","","03","폐업","03","폐업","20150319","","","","","","","","서울특별시 강동구 천호대로 1246 (둔촌동)","134882","Sk네트웍스(주)고속주유소","2015-03-19 17:11:34","I","2018-08-31 23:59:59.0","","213131.118271266    ","448261.715878947    ",""
"3240000","PHMH320123240033087500019","20121112","","03","폐업","03","폐업","20150507","","","","","","134825","서울특별시 강동구 명일동 48번지 15호","서울특별시 강동구 동남로71길 20 (명일동)","134825","GS25 명일청솔점","2015-05-07 12:21:13","I","2018-08-31 23:59:59.0","","213635.178574167    ","449979.023511727    ",""
