"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3040000","PHMH320123040033087500001","20121109","","03","폐업","03","폐업","20190327","","","","02-444-5189","","143702","서울특별시 광진구 자양동 777번지","서울특별시 광진구 자양로 117 (자양동)","05026","미니스톱 뚝섬2호점","2019-03-28 09:16:02","U","2019-03-30 02:40:00.0","","207217.242723012    ","448466.072448888    ",""
"3040000","PHMH320123040033087500002","20121109","","03","폐업","03","폐업","20190327","","","","02-461-1989","","143702","서울특별시 광진구 자양동 777번지","서울특별시 광진구 자양로 117 (자양동)","05026","미니스톱 뚝섬3호점","2019-03-28 09:16:18","U","2019-03-30 02:40:00.0","","207217.242723012    ","448466.072448888    ",""
"3040000","PHMH320123040033087500003","20121109","20150930","03","폐업","03","폐업","20150930","","","","02-447-2690","","143814","서울특별시 광진구 광장동 470번지 3호","서울특별시 광진구 아차산로 502 (광장동)","04974","미니스톱 광장현대점","2015-09-30 16:27:34","I","2018-08-31 23:59:59.0","","208526.97532855     ","448791.8824094      ",""
"3040000","PHMH320123040033087500004","20121109","","03","폐업","03","폐업","20190222","","","","02-3436-5966","","143826","서울특별시 광진구 구의동 248번지 138호","서울특별시 광진구 아차산로51길 62 (구의동)","05040","미니스톱 구의명성점","2019-02-25 10:12:00","U","2019-02-27 02:40:00.0","","207444.816428688    ","448614.949849754    ",""
"3040000","PHMH320123040033087500005","20121109","","01","영업/정상","13","영업중","","","","","02-3436-9934","","143926","서울특별시 광진구 화양동 495번지 17호","서울특별시 광진구 광나루로24길 14 (화양동)","05021","㈜지에스리테일 GS25 건국점","2022-08-31 11:19:08","U","2021-12-09 00:02:00.0","","206668.41635749","449268.919857697",""
"3040000","PHMH320123040033087500006","20121109","","01","영업/정상","13","영업중","","","","","02-2207-3405","","143867","서울특별시 광진구 자양동 631번지","서울특별시 광진구 자양로13길 47, 1층 (자양동)","05058","이마트24자양스타점","2022-06-24 14:32:36","U","2021-12-05 22:06:00.0","","207170.07288754","447991.643117971",""
"3040000","PHMH320123040033087500007","20121109","20140911","03","폐업","03","폐업","20140911","","","","02-462-0056","","143862","서울특별시 광진구 자양동 553번지 203호","서울특별시 광진구 뚝섬로 513 (자양동)","143862","GS25 자양대동","2014-09-11 17:55:13","I","2018-08-31 23:59:59.0","","205887.910154142    ","448166.926845495    ",""
"3040000","PHMH320123040033087500008","2012-11-09","","01","영업/정상","13","영업중","","","","","02-465-6042","","143-917","서울특별시 광진구 화양동 49번지 1호","서울특별시 광진구 아차산로25길 7 (화양동)","05020","GS25 건대제일점","2023-03-03 17:26:55","U","2022-12-03 00:05:00.0","","205812.382446847","448844.578289356",""
"3040000","PHMH320123040033087500009","20121109","20141218","03","폐업","03","폐업","20141218","","","","02-467-5540","","143859","서울특별시 광진구 자양동 854번지","서울특별시 광진구 뚝섬로34길 67 (자양동)","143859","GS25 광진팰리스점","2014-12-18 17:01:12","I","2018-08-31 23:59:59.0","","205936.166700054    ","447740.595068393    ",""
"3040000","PHMH320123040033087500010","20121109","20161220","03","폐업","03","폐업","20161220","","","","02-452-5576","","143865","서울특별시 광진구 자양동 601번지","서울특별시 광진구 자양번영로 32 (자양동)","05098","GS25 자양공원점","2016-12-20 14:09:23","I","2018-08-31 23:59:59.0","","206622.184390543    ","447801.074008667    ",""
"3040000","PHMH320123040033087500011","20121109","20140220","03","폐업","03","폐업","20130725","","","","02-456-0611","","143886","서울특별시 광진구 중곡동 51번지 1호","서울특별시 광진구 긴고랑로22길 23 (중곡동)","143886","GS25 중곡제일점","2014-02-20 09:36:27","I","2018-08-31 23:59:59.0","","207357.360762162    ","450864.063355544    ",""
"3040000","PHMH320123040033087500012","20121109","","01","영업/정상","13","영업중","","","","","080-855-5525","","143837","서울특별시 광진구 군자동 48번지 24호","서울특별시 광진구 군자로 141 (군자동)","04999","GS25 군자행운점","2014-02-20 15:53:27","I","2018-08-31 23:59:59.0","","206540.408063644    ","450231.172775616    ",""
