"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3030000","PHMH320123030033087500001","20121113","","03","폐업","03","폐업","20140411","","","","","","133870","서울특별시 성동구 행당동 322번지 100호","서울특별시 성동구 행당로8길 41-2 (행당동)","133870","씨유 응봉삼거리점","2014-08-01 10:32:22","I","2018-08-31 23:59:59.0","","202931.789940848    ","450419.387012901    ",""
"3030000","PHMH320123030033087500002","20121108","","03","폐업","03","폐업","20160427","","","","","","133800","서울특별시 성동구 금호동1가 103번지","서울특별시 성동구 금호로 172 (금호동1가)","04721","GS25 성동효인","2016-04-27 15:35:33","I","2018-08-31 23:59:59.0","","201708.875189085    ","450428.486516193    ",""
"3030000","PHMH320123030033087500003","20121108","","01","영업/정상","13","영업중","","","","","","","133839","서울특별시 성동구 옥수동 284번지 3호","서울특별시 성동구 독서당로 210 (옥수동)","04734","씨유 옥수삼성점","2014-07-29 17:18:52","I","2018-08-31 23:59:59.0","","201186.637524973    ","449010.903492623    ",""
"3030000","PHMH320123030033087500004","20121108","","03","폐업","03","폐업","20160808","","","","","","133871","서울특별시 성동구 행당동 4번지 11호","서울특별시 성동구 마조로1길 32 (행당동)","04760","씨유 왕십리한양","2016-08-08 14:04:29","I","2018-08-31 23:59:59.0","","203417.552375387    ","450885.996931257    ",""
"3030000","PHMH320123030033087500005","20121108","","01","영업/정상","13","영업중","","","","","","","133882","서울특별시 성동구 도선동 4번지 3호","서울특별시 성동구 왕십리로20길 26 (도선동)","04709","미니스톱 성동도선점","2014-07-29 17:24:46","I","2018-08-31 23:59:59.0","","203074.685892018    ","451303.525091374    ",""
"3030000","PHMH320123030033087500006","20121108","","03","폐업","03","폐업","20150731","","","","","","133120","서울특별시 성동구 성수동2가 289번지 10호","서울특별시 성동구 성수이로 113 (성수동2가)","133120","미니스톱 성수역점","2015-07-31 11:23:08","I","2018-08-31 23:59:59.0","","204976.652050117    ","449220.696790644    ",""
"3030000","PHMH320123030033087500007","20121108","","03","폐업","03","폐업","20140905","","","","","","133070","서울특별시 성동구 행당동 17번지 학술정보관","서울특별시 성동구 왕십리로 222 (행당동)","133070","㈜한국미니스톱 한대정보관점","2015-01-09 11:45:28","I","2018-08-31 23:59:59.0","","203684.127182478    ","450698.570810848    ",""
"3030000","PHMH320123030033087500008","20121108","","03","폐업","03","폐업","20150731","","","","","","133791","서울특별시 성동구 사근동 110번지 한양대복지관","서울특별시 성동구 왕십리로 222 (사근동, 한양대복지관)","133791","미니스톱 한양대복지관점","2015-07-31 15:06:25","I","2018-08-31 23:59:59.0","","204108.263654233    ","450598.470063263    ",""
"3030000","PHMH320123030033087500009","20121108","","03","폐업","03","폐업","20141104","","","","02-2282-2439","","133791","서울특별시 성동구 사근동 110번지 한양대학교병원","서울특별시 성동구 왕십리로 222 (사근동, 한양대학교병원)","133791","(주)한국미니스톱 한양대병원점","2015-01-09 11:43:08","I","2018-08-31 23:59:59.0","","204108.263654233    ","450598.470063263    ",""
"3030000","PHMH320123030033087500010","20121108","","01","영업/정상","13","영업중","","","","","02-2237-6930","","133803","서울특별시 성동구 금호동2가 464번지","서울특별시 성동구 무수막길 89 (금호동2가)","04726","씨유 신금호점","2014-08-01 10:36:47","I","2018-08-31 23:59:59.0","","201706.846547849    ","450154.000074987    ",""
"3030000","PHMH320123030033087500011","20121108","","03","폐업","03","폐업","20180921","","","","02-2282-1013","","133871","서울특별시 성동구 행당동 16번지 15호","서울특별시 성동구 사근동길 10 (행당동, 로즈빌)","04762","GS25 한양대후문점","2018-09-21 17:51:42","U","2018-09-21 23:59:59.0","","203661.67891859     ","450882.288831274    ",""
"3030000","PHMH320123030033087500012","20121108","","03","폐업","03","폐업","20150226","","","","02-2298-2202","","133840","서울특별시 성동구 옥수동 365번지 21호","서울특별시 성동구 한림말5길 7 (옥수동)","133840","GS25 옥수점","2015-02-26 13:21:17","I","2018-08-31 23:59:59.0","","201415.431252784    ","448845.625060334    ",""
"3030000","PHMH320123030033087500013","20121109","","03","폐업","03","폐업","20150223","","","","02-2299-0187","","133882","서울특별시 성동구 도선동 39번지 2호","서울특별시 성동구 왕십리로 314 (도선동)","133882","미니스톱 왕십리역점","2015-02-23 14:46:37","I","2018-08-31 23:59:59.0","","203011.422981572    ","451079.182036648    ",""
