"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3020000","PHMH320113020033087500001","20111116","","03","폐업","03","폐업","20141230","","","","","","","","서울특별시 용산구 효창원로76길 150 (효창동)","140896","(주)바이더웨이 효창공원점","2014-12-30 16:55:42","I","2018-08-31 23:59:59.0","","","",""
"3020000","PHMH320123020033087500001","20121108","","03","폐업","03","폐업","20161123","","","","02-794-1091","","","","서울특별시 용산구 서빙고로91나길 72 (동빙고동)","04395","GS25동빙고제일점","2016-11-23 14:35:41","I","2018-08-31 23:59:59.0","","199621.359137509    ","446867.679325885    ",""
"3020000","PHMH320123020033087500002","20121108","","03","폐업","03","폐업","20170502","","","","02-792-1091","","","","서울특별시 용산구 장문로6길 97 (동빙고동)","04393","GS25동빙고점","2017-05-10 10:55:50","I","2018-08-31 23:59:59.0","","199608.612935438    ","447092.209717144    ",""
"3020000","PHMH320123020033087500003","20121108","","03","폐업","03","폐업","20140417","","","","02-3275-3966","","","","서울특별시 용산구 새창로 146 (원효로2가)","140847","GS25원효타운","2014-04-17 15:38:02","I","2018-08-31 23:59:59.0","","196557.682702991    ","448041.810074053    ",""
"3020000","PHMH320123020033087500004","20121108","","01","영업/정상","13","영업중","","","","","02-792-1598","","","","서울특별시 용산구 한강대로 49 (한강로3가)","04379","GS25용산점","2013-08-22 14:01:23","I","2018-08-31 23:59:59.0","","196751.184595733    ","447037.735392015    ",""
"3020000","PHMH320123020033087500005","20121108","","03","폐업","03","폐업","20130405","","","","","","","","서울특별시 용산구 한강대로 211, 107호 (한강로1가)","140011","미니스톱용산월드점","2013-08-22 14:05:26","I","2018-08-31 23:59:59.0","","197542.687282146    ","448325.294355232    ",""
"3020000","PHMH320123020033087500006","20121108","","03","폐업","03","폐업","20170331","","","","02-774-4218","","","","서울특별시 용산구 후암로 23-1 (후암동)","04332","GS25후암사랑점","2017-03-31 17:06:18","I","2018-08-31 23:59:59.0","","197963.766166909    ","449528.48631004     ",""
"3020000","PHMH320123020033087500007","20121108","","03","폐업","03","폐업","20180727","","","","02-3789-1637","","","","서울특별시 용산구 후암로 71-2 (후암동)","04325","CU후암미주점","2018-07-27 16:45:18","I","2018-08-31 23:59:59.0","","197860.587890368    ","450002.778511517    ",""
"3020000","PHMH320123020033087500008","2012-11-08","","03","폐업","03","폐업","2023-03-16","","","","","","","","서울특별시 용산구 한강대로 205 (한강로1가)","04322","CU용산파크자이점","2023-03-16 17:20:21","U","2022-12-02 23:08:00.0","","","",""
"3020000","PHMH320123020033087500009","2012-11-08","","01","영업/정상","13","영업중","","","","","02-3275-3220","","","","서울특별시 용산구 청파로 395 (서계동)","04300","세븐일레븐 용산서울역점","2023-03-29 11:40:06","U","2022-12-02 21:01:00.0","","","",""
