"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3110000","PHMH320123110032087500001","20121107","","03","폐업","03","폐업","20161215","","","","023585599","","","","서울특별시 은평구 갈현로33길 14-1 (갈현동)","03320","세븐일레븐갈현대성점","2016-12-16 09:17:39","I","2018-08-31 23:59:59.0","","192407.97885649     ","457626.771154028    ",""
"3110000","PHMH320123110032087500002","20121107","","03","폐업","03","폐업","20220106","","","","387-4423","","","","서울특별시 은평구 연서로34길 12 (불광동)","03349","세븐일레븐은평불광점","2022-01-06 11:39:20","U","2022-01-08 02:40:00.0","","193536.090388238    ","457655.431262445    ","0"
"3110000","PHMH320123110032087500003","20121107","","03","폐업","03","폐업","20140318","","","","","","122845","서울특별시 은평구 대조동 223번지 13호 연서동물병원","서울특별시 은평구 연서로 162 (대조동, 연서동물병원)","122845","지에스25연서로점","2014-03-19 10:55:37","I","2018-08-31 23:59:59.0","","192679.159197802    ","456765.950221384    ",""
"3110000","PHMH320123110032087500004","20121107","","03","폐업","03","폐업","20160802","","","","","","","","서울특별시 은평구 불광천길 326 (응암동)","03485","씨유응암와산교점","2016-08-02 17:41:51","I","2018-08-31 23:59:59.0","","192341.404129743    ","454029.232151202    ",""
"3110000","PHMH320123110032087500005","20121107","","03","폐업","03","폐업","20171201","","","","023571335","","","","서울특별시 은평구 불광로 131 (불광동)","03354","지에스25독바위역점","2017-12-01 09:55:16","I","2018-08-31 23:59:59.0","","193997.701236078    ","457359.237794944    ",""
"3110000","PHMH320123110032087500006","20121107","","03","폐업","03","폐업","20190806","","","","023894463","","","","서울특별시 은평구 연서로 110 (역촌동)","03399","씨유예일역촌점","2019-08-07 09:21:01","U","2019-08-09 02:40:00.0","","192518.067941554    ","456270.586876463    ",""
"3110000","PHMH320123110032087500007","20121107","","03","폐업","03","폐업","20180130","","","","080-855-5525","","","","서울특별시 은평구 연서로44길 7 (진관동, 은평뉴타운폭포동)","03309","지에스25은평폭포점","2018-01-31 13:13:16","I","2018-08-31 23:59:59.0","","194304.687206867    ","459506.993451236    ",""
"3110000","PHMH320123110032087500008","20121107","","01","영업/정상","13","영업중","","","","","353-0896","","","","서울특별시 은평구 서오릉로 217 (구산동)","03425","씨유서오능점","2021-11-09 14:07:53","U","2021-11-11 02:40:00.0","","191944.857099685    ","456907.117637076    ","0"
"3110000","PHMH320123110032087500009","20121107","","03","폐업","03","폐업","20140527","","","","","","","","서울특별시 은평구 녹번로1길 23 (녹번동)","122830","씨유녹번초교점","2014-05-27 17:52:28","I","2018-08-31 23:59:59.0","","193495.162597784    ","455905.316908045    ",""
"3110000","PHMH320123110032087500010","20121107","","03","폐업","03","폐업","20220106","","","","387-2502","","","","서울특별시 은평구 연서로13길 24 (구산동)","03411","세븐일레븐구산제일점","2022-01-06 11:39:38","U","2022-01-08 02:40:00.0","","192293.651294134    ","456428.447851247    ","0"
