"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3060000","PHMH320123060034087500001","20121106","","03","폐업","03","폐업","20180904","","","","02-432-9948","","131860","서울특별시 중랑구 상봉동 111번지","서울특별시 중랑구 면목로91길 13 (상봉동)","02138","씨유 상봉점","2018-09-05 08:56:24","U","2018-09-05 23:59:59.0","","207448.561270644    ","454661.159162853    ",""
"3060000","PHMH320123060034087500002","20121106","","03","폐업","03","폐업","20140514","","","","02-493-8308","","131861","서울특별시 중랑구 상봉동 129번지 49호","서울특별시 중랑구 중랑천로10길 93 (상봉동)","131861","GS25 상봉행복점","2014-05-14 10:43:38","I","2018-08-31 23:59:59.0","","206819.885453483    ","454512.847768603    ",""
"3060000","PHMH320123060034087500003","20121106","","01","영업/정상","13","영업중","","","","","02-979-2025","","131852","서울특별시 중랑구 묵동 244번지 144호","서울특별시 중랑구 동일로157길 5 (묵동)","02009","GS25 먹골역점","2016-12-26 13:19:25","I","2018-08-31 23:59:59.0","","206764.430359787    ","456384.565393679    ",""
"3060000","PHMH320123060034087500005","20121106","","01","영업/정상","13","영업중","","","","","02-975-2025","","131852","서울특별시 중랑구 묵동 377번지","서울특별시 중랑구 동일로157길 59 (묵동)","02008","GS25 묵동현대점","2015-07-22 13:23:42","I","2018-08-31 23:59:59.0","","206494.386747812    ","456323.674371672    ",""
"3060000","PHMH320123060034087500006","20121115","","03","폐업","03","폐업","20130325","","","","","","","","서울특별시 중랑구 중랑역로 147 (묵동)","131853","씨유 중랑경찰서점","2014-04-10 13:24:52","I","2018-08-31 23:59:59.0","","206691.760597615    ","456039.62716713     ",""
"3060000","PHMH320123060034087500007","20121115","","03","폐업","03","폐업","20161122","","","","02-431-4422","","","","서울특별시 중랑구 용마산로116길 50 (망우동)","02177","씨유 망우제일점","2016-11-22 16:57:41","I","2018-08-31 23:59:59.0","","209046.874952547    ","455246.903295599    ",""
"3060000","PHMH320123060034087500008","20121116","","03","폐업","03","폐업","20160318","","","","491-0642","","131859","서울특별시 중랑구 상봉동 88번지 93호","서울특별시 중랑구 봉우재로33길 72 (상봉동)","02151","(주)바이더웨이 상봉점","2016-03-18 15:11:47","I","2018-08-31 23:59:59.0","","207821.751921072    ","454768.652445101    ",""
"3060000","PHMH320123060034087500009","20121116","","03","폐업","03","폐업","20130723","","","","02-434-7485","","131859","서울특별시 중랑구 상봉동 89번지 7호","서울특별시 중랑구 망우로50길 25 (상봉동)","131859","(주)바이더웨이 상봉2동","2014-04-10 13:30:59","I","2018-08-31 23:59:59.0","","207821.830190174    ","454855.431155267    ",""
"3060000","PHMH320123060034087500010","20121106","","03","폐업","03","폐업","20190226","","","","02-949-0525","","131848","서울특별시 중랑구 묵동 176번지 1호","서울특별시 중랑구 공릉로2길 8 (묵동)","02037","GS25 먹골보람점","2019-02-26 16:39:29","U","2019-02-28 02:40:00.0","","206848.178144545    ","456620.084154151    ",""
"3060000","PHMH320123060034087500011","20121106","","03","폐업","03","폐업","20150703","","","","02-494-2924","","131830","서울특별시 중랑구 면목동 372번지 20호","서울특별시 중랑구 면목로 247 (면목동)","131830","GS25 용마산역점","2015-07-03 17:20:38","I","2018-08-31 23:59:59.0","","207461.714560571    ","452544.850851529    ",""
"3060000","PHMH320123060034087500012","20121106","","03","폐업","03","폐업","20180803","","","","02-2209-4959","","131876","서울특별시 중랑구 중화동 286번지 22호","서울특별시 중랑구 동일로136길 10 (중화동)","02051","GS25 중화 다미소점","2018-08-03 13:42:47","I","2018-08-31 23:59:59.0","","206994.154050121    ","455522.929612313    ",""
"3060000","PHMH320123060034087500013","20121106","","03","폐업","03","폐업","20140613","","","","02-432-6217","","131823","서울특별시 중랑구 면목동 185번지 9호","서울특별시 중랑구 중랑천로10길 66 (면목동)","131823","세븐일레븐 면목로데오점","2014-06-13 15:27:31","I","2018-08-31 23:59:59.0","","206699.417508254    ","454450.179550184    ","145"
"3060000","PHMH320123060034087500014","20121107","","03","폐업","03","폐업","20160210","","","","02-433-6160","","131859","서울특별시 중랑구 상봉동 107번지 28호","서울특별시 중랑구 면목로 478-1 (상봉동)","02154","GS25 상봉역점","2016-02-11 13:32:33","I","2018-08-31 23:59:59.0","","207542.502684761    ","454699.933274651    ","43"
"3060000","PHMH320123060034087500015","20121107","","03","폐업","03","폐업","20180705","","","","02-433-9445","","131814","서울특별시 중랑구 면목동 405번지 11호","서울특별시 중랑구 겸재로54길 115 (면목동)","02208","씨유 면목으뜸점","2018-07-05 15:03:08","I","2018-08-31 23:59:59.0","","208001.375458129    ","453531.598708709    ","69"
"3060000","PHMH320123060034087500016","20121108","","03","폐업","03","폐업","20150930","","","","02-495-8922","","131881","서울특별시 중랑구 중화동 304번지 34호","서울특별시 중랑구 동일로129길 16 (중화동)","02102","GS25 중화제일점","2015-09-30 16:29:02","I","2018-08-31 23:59:59.0","","206888.682623817    ","455254.740987472    ","49.5"
"3060000","PHMH320123060034087500017","20121109","","03","폐업","03","폐업","20161101","","","","070-8851-0357","","131861","서울특별시 중랑구 상봉동 127번지 21호","서울특별시 중랑구 동일로109가길 22 (상봉동)","02123","세븐일레븐 상봉동일로점","2016-10-31 10:58:49","I","2018-08-31 23:59:59.0","","206889.293186112    ","454516.422154096    ","36"
"3060000","PHMH320123060034087500018","20121108","","03","폐업","03","폐업","20160523","","","","02-432-7428","","131803","서울특별시 중랑구 망우동 343번지 1호","서울특별시 중랑구 망우로73길 31 (망우동)","02060","씨유 망우으뜸점","2016-05-24 09:29:10","I","2018-08-31 23:59:59.0","","209042.420842116    ","455518.700422732    ",""
"3060000","PHMH320123060034087500019","20121108","","03","폐업","03","폐업","20150227","","","","02-495-4991","","131877","서울특별시 중랑구 중화동 290번지 7호","서울특별시 중랑구 동일로130길 31 (중화동)","131877","미니스톱 중화점","2015-02-27 14:33:03","I","2018-08-31 23:59:59.0","","207159.607466239    ","455289.523285544    ",""
"3060000","PHMH320123060034087500020","20121116","","03","폐업","03","폐업","20160616","","","","","","131883","서울특별시 중랑구 중화동 314번지 32호","서울특별시 중랑구 봉화산로4길 31 (중화동)","02104","(주)비지에프휴먼넷 중랑중화점","2016-06-16 17:06:22","I","2018-08-31 23:59:59.0","","206670.831526915    ","455307.748311056    ",""
"3060000","PHMH320123060034087500021","20121109","","01","영업/정상","13","영업중","","","","","02-972-9076","","131848","서울특별시 중랑구 묵동 318번지 1호","서울특별시 중랑구 공릉로 68 (묵동)","02031","GS25 묵동사랑점","2013-10-28 13:25:50","I","2018-08-31 23:59:59.0","","206963.505525542    ","457120.207807724    ","50"
"3060000","PHMH320123060034087500022","20121109","","03","폐업","03","폐업","20221018","","","","02-2208-4196","","131860","서울특별시 중랑구 상봉동 118번지","서울특별시 중랑구 망우로 270 (상봉동)","02136","세븐일레븐 상봉제일점","2022-10-18 15:03:05","U","2021-10-30 22:00:00.0","","207231.299357379","454784.313223885",""
"3060000","PHMH320123060034087500023","20121109","","01","영업/정상","13","영업중","","","","","02-2209-6958","","131859","서울특별시 중랑구 상봉동 105번지 85호","서울특별시 중랑구 봉우재로 141 (상봉동)","02153","씨유 상봉대로점","2013-10-28 14:24:11","I","2018-08-31 23:59:59.0","","207756.6989542      ","454567.701513384    ","33"
