"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3190000","CDFH3301022012000004","2012-07-25","","03","폐업","03","폐업","2023-01-31","","","","","","156-844","서울특별시 동작구 상도동 259-41 4층","서울특별시 동작구 성대로10가길 5, 4층 (상도동)","07044","제이칼리쿠(태권도)","2023-02-28 11:04:37","U","2022-12-03 00:03:00.0","태권도","194132.733696746","443909.975049137","","","","","","","","",""
"3120000","CDFH3301022002000001","2002-03-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 북가좌동 286-18 2층","서울특별시 서대문구 증가로 201, 2층 (북가좌동)","03685","해솔태권도장","2023-02-28 13:39:12","U","2022-12-03 00:03:00.0","태권도","192503.770165916","453078.703664751","","","","","","","","",""
"3150000","CDFH3301021996000014","1996-12-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 가양동 1474 대림경동아파트 상가동 304호","서울특별시 강서구 허준로 121, 304호 (가양동, 대림경동아파트 상가동)","07525","부부 용인대 TOP 태권도장","2023-02-28 13:53:08","U","2022-12-03 00:03:00.0","태권도","187034.317305052","451572.877049653","","","","","","","","",""
"3150000","CDFH3301022023000004","2023-03-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 방화동 180-12 용빌딩","서울특별시 강서구 양천로26길 26, 용빌딩 2층 202호 (방화동)","07592","브로스 유도관","2023-03-02 20:40:06","I","2022-12-03 00:04:00.0","유도","183896.836821802","452280.508576154","","","","","","","","",""
"3180000","CDFH3301022023000003","2023-03-02","","01","영업/정상","13","영업중","","","","","02-835-8253","","","서울특별시 영등포구 신길동 4397","서울특별시 영등포구 여의대방로 93, 지층 (신길동)","07433","TS국가대표MVP태권도장","2023-03-02 10:56:37","I","2022-12-03 00:04:00.0","태권도","192581.01200411","443927.696665807","","","","","","","","",""
"3160000","CDFH3301022023000002","2023-03-02","","01","영업/정상","13","영업중","","","","","02-858-6585","","","서울특별시 구로구 구로동 507-6","서울특별시 구로구 구로동로42길 56, 3층 (구로동)","08280","용인대 예도 태권도","2023-03-02 13:03:41","I","2022-12-03 00:04:00.0","태권도","189694.937488736","443991.086755794","","","","","","","","",""
"3130000","CDFH3301021995000003","1995-04-24","","01","영업/정상","13","영업중","","","","","02-364-2300","","","서울특별시 마포구 아현동 38 삼성래미안(아) 상가2동 401,4호","서울특별시 마포구 만리재옛길 101-1, 삼성래미안공덕2차 상가2동 401,402호 (아현동)","04202","엘리트화랑태권도장","2023-04-11 16:23:24","U","2022-12-03 23:03:00.0","","","","","","","","","","","",""
"3070000","CDFH3301022023000002","2023-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동소문동2가 227 애산빌딩","서울특별시 성북구 동소문로 18-1, 애산빌딩 B1층 (동소문동2가)","02860","민앤마이노(한성대점)","2023-03-03 09:52:08","I","2022-12-03 00:05:00.0","유도","200662.617377602","454094.531352725","","","","","","","","",""
"3140000","CDFH3301022020000013","2020-07-20","","03","폐업","03","폐업","2021-07-10","","","","02-2653-8882","","","서울특별시 양천구 목동 725-3","서울특별시 양천구 목동중앙남로9길 38, 3층 (목동)","07958","공도관 제8관","2023-03-03 13:00:44","U","2022-12-03 00:05:00.0","합기도","187950.024484064","448432.130156577","","","","","","","","",""
"3140000","CDFH3301022020000009","2020-06-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신정동 174-1","서울특별시 양천구 목동남로4길 38, 예인빌딩 4층 403호 (신정동)","08104","숭무관","2023-03-03 17:58:51","U","2022-12-03 00:05:00.0","합기도","188131.296203725","445197.198550791","","","","","","","","",""
