"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3120000","PHMH320113120033087500001","20121114","","03","폐업","03","폐업","20161230","","","","02-302-9236","","120800","서울특별시 서대문구 남가좌동 8번지 25호","서울특별시 서대문구 명지대길 72 (남가좌동)","03675","CU 명지대원룸점","2016-12-30 13:26:51","I","2018-08-31 23:59:59.0","","193167.338438916    ","453440.645301652    ",""
"3120000","PHMH320113120033087500002","20121127","","01","영업/정상","13","영업중","","","","","","","120833","서울특별시 서대문구 창천동 29번지 111호","서울특별시 서대문구 연세로4길 12 (창천동)","03779","미니스톱 연대점","2022-08-17 19:08:04","U","2021-12-07 23:09:00.0","","194425.616874829","450526.795166144",""
"3120000","PHMH320123120033087500001","20121101","","01","영업/정상","13","영업중","","","","","02-3143-6338","","120825","서울특별시 서대문구 연희동 134번지 28호","서울특별시 서대문구 연희맛로 38, 1층 (연희동)","03708","CU 연희영웅점","2014-10-10 15:33:52","I","2018-08-31 23:59:59.0","","193851.29815243     ","451768.30204463     ",""
"3120000","PHMH320123120033087500002","20121101","","03","폐업","03","폐업","20160518","","","","02-363-7080","","120040","서울특별시 서대문구 천연동 46번지 1층 3호","서울특별시 서대문구 독립문로 40, 1층 3호 (천연동)","03745","코리아세븐 서대문 동명점","2016-05-18 17:20:32","I","2018-08-31 23:59:59.0","","196531.780075563    ","451822.58437919     ",""
"3120000","PHMH320123120033087500003","20121101","","01","영업/정상","13","영업중","","","","","070-4406-8752","","120825","서울특별시 서대문구 연희동 193번지 17호","서울특별시 서대문구 연희로 81-21 (연희동)","03708","CU 서대문연희점","2015-03-05 15:02:12","I","2018-08-31 23:59:59.0","","193650.967376047    ","451507.521435435    ",""
"3120000","PHMH320123120033087500004","20121102","","03","폐업","03","폐업","20150126","","","","","","120809","서울특별시 서대문구 대현동 101번지 10호","서울특별시 서대문구 이화여대1길 42-1 (대현동)","120809","세븐일레븐 배꽃나래점","2015-03-05 17:32:50","I","2018-08-31 23:59:59.0","","194928.221088869    ","450556.560059493    ",""
"3120000","PHMH320123120033087500005","20121102","","03","폐업","03","폐업","20121116","","","","","","120806","서울특별시 서대문구 남가좌동 324번지 10호","서울특별시 서대문구 증가로10길 59 (남가좌동)","120806","바이더웨이 명지대점","2015-03-05 17:48:33","I","2018-08-31 23:59:59.0","","193310.567638385    ","453033.327121757    ",""
"3120000","PHMH320123120033087500006","20121105","","03","폐업","03","폐업","20150918","","","","02-362-8568","","120808","서울특별시 서대문구 대현동 40번지 4호","서울특별시 서대문구 이화여대길 7 (대현동)","03766","미니스톱 이대역점","2015-09-18 15:28:25","I","2018-08-31 23:59:59.0","","195132.505510061    ","450552.709689412    ",""
"3120000","PHMH320123120033087500007","20121105","","03","폐업","03","폐업","20180329","","","","02-303-2400","","120814","서울특별시 서대문구 북가좌동 324번지 47호","서울특별시 서대문구 응암로1길 20 (북가좌동)","03678","세븐일레븐 북가좌본점","2018-03-29 17:07:17","I","2018-08-31 23:59:59.0","","191997.083132782    ","453294.81483241     ",""
"3120000","PHMH320123120033087500008","20121105","","03","폐업","03","폐업","20170516","","","","02-336-5797","","120830","서울특별시 서대문구 연희동 194번지 40호","서울특별시 서대문구 성산로 365-18 (연희동)","03726","세븐일레븐 동서한방병원점","2017-05-16 11:20:58","I","2018-08-31 23:59:59.0","","193736.025014973    ","451393.147219045    ",""
