"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3070000","PHMH320123070034087500001","20121105","","01","영업/정상","13","영업중","","","","","02-922-2341","","136052","서울특별시 성북구 동선동2가 11번지","서울특별시 성북구 동소문로22길 54 (동선동2가)","02849","CU 동선중앙점","2021-12-16 10:50:26","U","2021-12-18 02:40:00.0","","201554.329941384    ","454266.730084178    ","0"
"3070000","PHMH320123070034087500002","20121105","","03","폐업","03","폐업","20190717","","","","02-910-7072","","136840","서울특별시 성북구 정릉동 966번지 101호","서울특별시 성북구 보국문로32길 3 (정릉동)","02700","CU 정릉청수점","2019-07-17 14:36:41","U","2019-07-19 02:40:00.0","","200156.489989688    ","457209.73881031     ",""
"3070000","PHMH320123070034087500003","20121105","","03","폐업","03","폐업","20191002","","","","02-926-2525","","136082","서울특별시 성북구 보문동2가 75번지 15호","서울특별시 성북구 지봉로 175 (보문동2가)","02871","CU 보문좋은점","2019-10-02 15:06:53","U","2019-10-04 02:40:00.0","","201533.119085947    ","453638.774186622    ",""
"3070000","PHMH320123070034087500004","20121105","","03","폐업","03","폐업","20140901","","","","","","136817","서울특별시 성북구 석관동 127번지 76호","서울특별시 성북구 한천로78길 49 (석관동)","136817","씨유 성북석관점","2014-09-01 14:13:35","I","2018-08-31 23:59:59.0","","205632.223937105    ","456705.30234734     ",""
"3070000","PHMH320123070034087500005","20121105","","03","폐업","03","폐업","20141201","","","","07041224127","","136081","서울특별시 성북구 보문동1가 117번지","서울특별시 성북구 보문로26길 2 (보문동1가)","136081","세븐일레븐 보문역점","2014-12-01 14:42:54","I","2018-08-31 23:59:59.0","","201611.841978943    ","453790.16315118     ",""
"3070000","PHMH320123070034087500006","20121105","","03","폐업","03","폐업","20180502","","","","02-918-2212","","136731","서울특별시 성북구 길음동 1284번지 길음뉴타운8단지 B동 219호","서울특별시 성북구 길음로 33, B동 219호 (길음동, 길음뉴타운8단지)","02720","GS25 길음본점","2018-05-02 14:18:02","I","2018-08-31 23:59:59.0","","201514.982796105    ","456137.084315817    ",""
"3070000","PHMH320123070034087500007","20121105","","03","폐업","03","폐업","20220113","","","","02-942-8939","","136849","서울특별시 성북구 정릉동 260번지 117호","서울특별시 성북구 보국문로16길 75 (정릉동)","02711","세븐일레븐 정릉온누리","2022-01-13 16:44:48","U","2022-01-15 02:40:00.0","","200827.966732367    ","456754.251243437    ","0"
"3070000","PHMH320123070034087500008","20121105","","03","폐업","03","폐업","20170531","","","","02-6369-4845","","136053","서울특별시 성북구 동선동3가 76번지","서울특별시 성북구 동소문로26가길 40 (동선동3가)","02840","세븐일레븐 성신여고점","2017-05-31 16:45:50","I","2018-08-31 23:59:59.0","","201800.035986013    ","454719.929577788    ",""
"3070000","PHMH320123070034087500009","20121105","","03","폐업","03","폐업","20180618","","","","","","136819","서울특별시 성북구 석관동 255번지 10호","서울특별시 성북구 돌곶이로23길 3 (석관동)","02787","세븐일레븐 돌곶이제일점","2018-06-18 17:52:58","I","2018-08-31 23:59:59.0","","205014.483293207    ","456402.526919997    ",""
"3070000","PHMH320123070034087500010","20121105","","03","폐업","03","폐업","20131203","","","","","","136843","서울특별시 성북구 정릉동 484번지","서울특별시 성북구 아리랑로19길 34 (정릉동)","136843","세븐일레븐 정릉아리랑점","2013-12-03 13:32:47","I","2018-08-31 23:59:59.0","","200953.497804834    ","455584.928091277    ",""
