"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3000000","PHMH320123000034087500001","20121102","20150429","03","폐업","03","폐업","20150429","","","","02-722-6683","","110871","서울특별시 종로구 내수동 71번지 101호","서울특별시 종로구 사직로8길 24, 101호 (내수동)","110871","씨유 종로경희궁의아침점","2015-04-29 16:00:57","I","2018-08-31 23:59:59.0","","197393.747563185    ","452408.438228843    ",""
"3000000","PHMH320123000034087500002","20121102","20140725","03","폐업","03","폐업","20140725","","","","02-736-8842","","110170","서울특별시 종로구 견지동 110번지","서울특별시 종로구 삼봉로 95 (견지동)","110170","미니스톱 종각중앙점","2014-07-25 15:59:49","I","2018-08-31 23:59:59.0","","198386.829870878    ","452237.303784872    ",""
"3000000","PHMH320123000034087500003","20121102","","03","폐업","03","폐업","20211130","","","","02-765-4037","","110862","서울특별시 종로구 숭인동 72번지 12호","서울특별시 종로구 종로 371 (숭인동)","03113","세븐일레븐 동묘제일점","2021-11-30 15:37:12","U","2021-12-02 02:40:00.0","","201580.705597311    ","452430.945712403    ","0"
"3000000","PHMH320123000034087500004","20121102","20141023","03","폐업","03","폐업","20141023","","","","02-725-8923","","110033","서울특별시 종로구 효자동 70번지 1호","서울특별시 종로구 자하문로 82 (효자동)","110033","CU 종로효자점","2014-10-23 11:54:52","I","2018-08-31 23:59:59.0","","197342.22089531     ","453450.527281803    ",""
"3000000","PHMH320123000034087500005","20121102","20161227","03","폐업","03","폐업","20161227","","","","02-735-9055","","110041","서울특별시 종로구 누상동 55번지","서울특별시 종로구 옥인길 23-1 (누상동)","03037","CU 종로누상점","2016-12-27 16:36:13","I","2018-08-31 23:59:59.0","","197043.514048414    ","453155.481949692    ",""
"3000000","PHMH320123000034087500006","20121102","20140523","03","폐업","03","폐업","20140523","","","","02-766-7498","","110126","서울특별시 종로구 종로6가 238번지 6호","서울특별시 종로구 종로39길 40 (종로6가)","110126","한국미니스톱 종로효제점","2014-05-23 15:25:58","I","2018-08-31 23:59:59.0","","200368.240733181    ","452257.657396683    ",""
"3000000","PHMH320123000034087500007","20121102","","01","영업/정상","13","영업중","","","","","02-745-3586","","110862","서울특별시 종로구 숭인동 53번지 21호 1층","서울특별시 종로구 지봉로 92, 1층 (숭인동)","03108","GS25 창신역점","2015-02-10 15:47:06","I","2018-08-31 23:59:59.0","","201304.223298708    ","452882.754347238    ",""
"3000000","PHMH320123000034087500008","20121102","","01","영업/정상","13","영업중","","","","","02-725-8425","","110045","서울특별시 종로구 체부동 19번지 1호","서울특별시 종로구 자하문로 19-1 (체부동)","03041","GS25 종로사직점","2014-01-03 10:55:34","I","2018-08-31 23:59:59.0","","197347.192983       ","452921.820829       ",""
"3000000","PHMH320123000034087500009","20121102","","01","영업/정상","13","영업중","","","","","02-737-4524","","110805","서울특별시 종로구 누하동 57번지 2호","서울특별시 종로구 필운대로 39 (누하동)","03037","GS25 종로누하점","2014-01-03 10:56:26","I","2018-08-31 23:59:59.0","","197159.15248117     ","453026.326653906    ",""
"3000000","PHMH320123000034087500010","20121102","","03","폐업","03","폐업","20220727","","","","02-764-0711","","110250","서울특별시 종로구 재동 104번지 1호","서울특별시 종로구 율곡로 61 (재동)","03060","GS25 종로안국점","2022-07-27 16:18:52","U","2021-12-06 22:09:00.0","","198685.005097689","452737.399916958",""
"3000000","PHMH320123000034087500011","20121105","","03","폐업","03","폐업","20191212","","","","02-379-2325","","110020","서울특별시 종로구 홍지동 94번지 2호","서울특별시 종로구 세검정로 230 (홍지동)","03017","GS25 상명사랑점","2019-12-12 16:54:22","U","2019-12-14 02:40:00.0","","196268.479696575    ","455316.074423675    ",""
"3000000","PHMH320123000034087500012","20121105","20170317","03","폐업","03","폐업","20170317","","","","02-73-3827","","110260","서울특별시 종로구 가회동 208번지 7호","서울특별시 종로구 북촌로6길 1 (가회동)","03056","GS25 북촌점","2017-03-17 17:25:11","I","2018-08-31 23:59:59.0","","198623.182915566    ","453097.169047215    ",""
"3000000","PHMH320123000034087500013","20121105","20160524","03","폐업","03","폐업","20160524","","","","02-723-7869","","110300","서울특별시 종로구 관훈동 144번지","서울특별시 종로구 인사동길 59 (관훈동)","03145","GS25 종로인사점","2016-05-24 18:44:00","I","2018-08-31 23:59:59.0","","198462.656695463    ","452539.558079788    ",""
"3000000","PHMH320123000034087500014","20121106","20161102","03","폐업","03","폐업","20161102","","","","02-720-5323","","110200","서울특별시 종로구 소격동 30번지","서울특별시 종로구 북촌로5가길 33, 1층 (소격동)","03053","씨유 삼청골목길점","2016-11-02 15:57:21","I","2018-08-31 23:59:59.0","","198296.523442809    ","453184.372388668    ",""
"3000000","PHMH320123000034087500015","20121106","20140404","03","폐업","03","폐업","20140404","","","","02-737-4857","","110045","서울특별시 종로구 체부동 45번지 2호","서울특별시 종로구 자하문로 13, 1층 (체부동)","110045","세븐일레븐 경복궁역점","2014-04-04 15:59:55","I","2018-08-31 23:59:59.0","","197459.937466432    ","452771.062731801    ",""
"3000000","PHMH320123000034087500016","20121107","20140515","03","폐업","03","폐업","20140515","","","","","","110811","서울특별시 종로구 명륜3가 1번지 3호","서울특별시 종로구 명륜길 21 (명륜3가)","110811","미니스톱 명륜성대점","2014-05-15 15:28:23","I","2018-08-31 23:59:59.0","","199541.085851334    ","453994.48641613     ",""
"3000000","PHMH320123000034087500017","20121107","","03","폐업","03","폐업","20210129","","","","","","110844","서울특별시 종로구 충신동 52번지 2호","서울특별시 종로구 율곡로 235 (충신동)","03100","미니스톱 종로충신점","2021-01-29 10:13:47","U","2021-01-31 02:40:00.0","","200379.482946488    ","452621.353626179    ",""
"3000000","PHMH320123000034087500018","20121107","","01","영업/정상","13","영업중","","","","","","","110530","서울특별시 종로구 혜화동 201번지","서울특별시 종로구 동숭길 140 (혜화동)","03084","GS25 동숭점","2014-01-03 10:32:15","I","2018-08-31 23:59:59.0","","200156.610752518    ","453486.148396679    ",""
"3000000","PHMH320123000034087500019","2012-11-07","","01","영업/정상","13","영업중","","","","","02-764-9367","","110-530","서울특별시 종로구 혜화동 111번지 7호","서울특별시 종로구 창경궁로 273 (혜화동)","03075","(주)코리아세븐 혜화점","2023-06-27 16:30:06","U","2022-12-05 22:09:00.0","","199982.140328263","453723.397421668",""
"3000000","PHMH320123000034087500020","20121107","","03","폐업","03","폐업","20190718","","","","02-3675-2663","","110522","서울특별시 종로구 명륜2가 135번지","서울특별시 종로구 성균관로 21-2 (명륜2가)","03073","(주)바이더웨이 성대점","2019-07-18 15:09:40","U","2019-07-20 02:40:00.0","","199678.15057905     ","453590.881181613    ",""
"3000000","PHMH320123000034087500021","20121108","","03","폐업","03","폐업","20210503","","","","02-723-7717","","110290","서울특별시 종로구 인사동 131번지","서울특별시 종로구 인사동길 5 (인사동)","03164","(주)코리아세븐인사점","2021-05-03 13:46:36","U","2021-05-05 02:40:00.0","","198783.662701312    ","452122.430070163    ",""
"3000000","PHMH320123000034087500022","20121107","20151113","03","폐업","03","폐업","20151113","","","","02-2253-1782","","110828","서울특별시 종로구 숭인동 1367번지 경일오피스텔 101호","서울특별시 종로구 난계로 259, 101호 (숭인동, 경일오피스텔)","03116","GS25 종로숭인점","2015-11-13 17:28:39","I","2018-08-31 23:59:59.0","","201960.951300031    ","452506.178595954    ",""
"3000000","PHMH320123000034087500023","20121107","20171027","03","폐업","03","폐업","20171027","","","","02-736-1656","","110054","서울특별시 종로구 사직동 9번지","서울특별시 종로구 사직로8길 4 (사직동)","03168","GS25 종로스페이스점","2017-10-27 17:43:52","I","2018-08-31 23:59:59.0","","197181.393301659    ","452458.826651573    ",""
"3000000","PHMH320123000034087500024","20121108","20160516","03","폐업","03","폐업","20160516","","","","02-745-1600","","110320","서울특별시 종로구 낙원동 25번지","서울특별시 종로구 삼일대로30길 9 (낙원동)","03132","세븐일레븐종로크라운호텔점","2016-05-16 11:18:30","I","2018-08-31 23:59:59.0","","198886.944446027    ","452419.42955676     ",""
"3000000","PHMH320123000034087500025","20121108","20180402","03","폐업","03","폐업","20180402","","","","02-741-0565","","110853","서울특별시 종로구 종로4가 14번지 1호","서울특별시 종로구 종로 185 (종로4가)","03130","세븐일레븐종로가배점","2018-04-02 16:47:36","I","2018-08-31 23:59:59.0","","199791.558137093    ","452086.010385627    ",""
"3000000","PHMH320123000034087500026","20121108","20141031","03","폐업","03","폐업","20141031","","","","02-745-3206","","110840","서울특별시 종로구 창신동 154번지 1호","서울특별시 종로구 종로 313-1 (창신동)","110840","미니스톱 동대문역점","2014-10-31 16:45:16","I","2018-08-31 23:59:59.0","","201040.562597317    ","452226.799877585    ",""
"3000000","PHMH320123000034087500027","20121108","","03","폐업","03","폐업","20200522","","","","070-8764-5368","","110842","서울특별시 종로구 창신동 459번지 1호","서울특별시 종로구 종로50길 8 (창신동)","03119","세븐일레븐 종로창신점","2020-05-23 14:36:41","U","2020-05-26 02:40:00.0","","201028.30220913     ","452145.443016343    ",""
"3000000","PHMH320123000034087500028","20121108","20160805","03","폐업","03","폐업","20160808","","","","","","110360","서울특별시 종로구 와룡동 150번지","서울특별시 종로구 돈화문로 81 (와룡동)","03131","GS25 돈화문로","2016-08-05 18:11:47","I","2018-08-31 23:59:59.0","","199080.695216856    ","452600.825553462    ",""
"3000000","PHMH320123000034087500029","20121108","20170517","03","폐업","03","폐업","20170517","","","","02-724-6447","","110863","서울특별시 종로구 숭인동 181번지 127호","서울특별시 종로구 종로67길 41, 1층 (숭인동)","03112","세븐일레븐 숭인제일점","2017-05-17 17:07:11","I","2018-08-31 23:59:59.0","","201717.961731734    ","452697.229658221    ",""
"3000000","PHMH320123000034087500030","20121108","","03","폐업","03","폐업","20190207","","","","02-744-6078","","110863","서울특별시 종로구 숭인동 178번지 142호 1층","서울특별시 종로구 종로 383, 1층 (숭인동)","03112","(주)씨스페이시스 숭인2점","2019-02-07 14:51:44","U","2019-02-09 02:40:00.0","","201685.254333781    ","452466.843933956    ",""
"3000000","PHMH320123000034087500031","20121108","20171229","03","폐업","03","폐업","20171229","","","","02-733-0187","","110110","서울특별시 종로구 서린동 154번지 1호","서울특별시 종로구 종로 6 (서린동)","03187","(주)지에스리테일POSTALGS25&","2017-12-29 11:46:20","I","2018-08-31 23:59:59.0","","197995.218793409    ","451945.047247204    ",""
"3000000","PHMH320123000034087500032","20121108","","01","영업/정상","13","영업중","","","","","02-736-0996","","110044","서울특별시 종로구 필운동 163번지","서울특별시 종로구 필운대로 12 (필운동)","03041","세븐일레븐 종로배화점","2017-04-28 10:41:31","I","2018-08-31 23:59:59.0","","197231.292851585    ","452764.457295974    ",""
"3000000","PHMH320123000034087500033","20121109","","01","영업/정상","13","영업중","","","","","02-765-4007","","","서울특별시 종로구 창신동 592-7","서울특별시 종로구 창신6길 2, 1층 (창신동)","03102","세븐일레븐 창신우리점","2022-10-12 15:03:33","U","2021-10-30 23:04:00.0","","200878.545130532","452506.356509346",""
"3000000","PHMH320123000034087500034","20121109","","01","영업/정상","13","영업중","","","","","070-4135-0025","","110814","서울특별시 종로구 무악동 63번지 10호","서울특별시 종로구 통일로16길 5, 1층 (무악동)","03030","GS25 종로드림점","2020-12-17 16:56:32","U","2020-12-19 02:40:00.0","","196143.256118357    ","452619.54362936     ",""
"3000000","PHMH320123000034087500035","20121109","","01","영업/정상","13","영업중","","","","","02-732-6676","","110034","서울특별시 종로구 창성동 160번지","서울특별시 종로구 자하문로 60 (창성동)","03043","세븐일레븐 종로창성점","2014-01-03 09:58:58","I","2018-08-31 23:59:59.0","","197383.41956245     ","453240.857215287    ",""
"3000000","PHMH320123000034087500036","20121109","20150504","03","폐업","03","폐업","20150504","","","","02-741-9029","","110809","서울특별시 종로구 동숭동 1번지 55호","서울특별시 종로구 대학로12길 13 (동숭동)","110809","씨유 종로동숭점","2015-05-04 15:09:54","I","2018-08-31 23:59:59.0","","200163.533936465    ","453385.896458574    ",""
"3000000","PHMH320123000034087500037","20121109","20171101","03","폐업","03","폐업","20171101","","","","02-763-0799","","110480","서울특별시 종로구 효제동 291번지 9호","서울특별시 종로구 김상옥로 41 (효제동)","03122","씨유 종로효제점","2017-11-01 16:17:20","I","2018-08-31 23:59:59.0","","200138.971041903    ","452352.890982757    ",""
"3000000","PHMH320123000034087500038","20121109","20150518","03","폐업","03","폐업","20150518","","","","02-745-5031","","110521","서울특별시 종로구 명륜1가 33번지 72호","서울특별시 종로구 혜화로 31 (명륜1가)","110521","바이더웨이 종로혜화점","2015-05-18 14:06:12","I","2018-08-31 23:59:59.0","","199880.490080913    ","454005.436059664    ",""
"3000000","PHMH320123000034087500039","20121112","20150601","03","폐업","03","폐업","20150601","","","","02-747-4030","","","","서울특별시 종로구 삼일대로30길 23, 101-B호 (익선동)","110340","미니스톱종로익선점","2015-06-01 17:33:15","I","2018-08-31 23:59:59.0","","198938.628193769    ","452464.092338006    ",""
"3000000","PHMH320123000034087500040","20121112","20130925","03","폐업","03","폐업","20130925","","","","02-736-6341","","","","서울특별시 종로구 우정국로2길 34 (관철동)","110111","씨유 종로시사점","2013-09-25 15:40:15","I","2018-08-31 23:59:59.0","","198600.297703408    ","451907.673521567    ",""
"3000000","PHMH320123000034087500041","20121112","","03","폐업","03","폐업","20200130","","","","02-735-9084","","110140","서울특별시 종로구 수송동 68번지 1호 102호","서울특별시 종로구 삼봉로 57, 102호 (수송동)","03151","씨유 종로구청점","2020-01-30 14:35:58","U","2020-02-01 02:40:00.0","","198205.621520751    ","452254.217603167    ",""
"3000000","PHMH320123000034087500042","20121112","","03","폐업","03","폐업","20190524","","","","02-733-3919","","110140","서울특별시 종로구 수송동 85번지 101호","서울특별시 종로구 율곡로2길 7, 101호 (수송동)","03143","GS25 종로로얄점","2019-05-24 11:57:02","U","2019-05-26 02:40:00.0","","198271.843790307    ","452533.899674194    ",""
"3000000","PHMH320123000034087500043","20121112","","03","폐업","03","폐업","20200519","","","","02-766-7166","","","","서울특별시 종로구 북촌로4길 27 (계동)","03056","미니스톱종로북촌점","2020-05-19 16:53:27","U","2020-05-21 02:40:00.0","","198747.75543814     ","453020.73827135     ",""
"3000000","PHMH320123000034087500044","20121112","","01","영업/정상","13","영업중","","","","","","","110810","서울특별시 종로구 동숭동 187번지 12호","서울특별시 종로구 이화장길 99-0 (동숭동)","03087","GS25 종로방통대점","2013-07-15 14:44:28","I","2018-08-31 23:59:59.0","","200309.358120637    ","453044.212129777    ",""
"3000000","PHMH320123000034087500045","20121112","20140527","03","폐업","03","폐업","20140527","","","","02-765-9669","","110460","서울특별시 종로구  102번지 2호 지층","서울특별시 종로구 대학로5길 22-0, 지층 (연건동)","110460","세븐일레븐 종로함춘원점","2014-05-27 17:23:05","I","2018-08-31 23:59:59.0","","200015.693526764    ","452928.84272136     ",""
"3000000","PHMH320123000034087500046","20121113","","03","폐업","03","폐업","20200402","","","","02-747-1772","","","","서울특별시 종로구 수표로 105 (종로2가)","03140","미니스톱종로육의전점","2020-04-02 16:09:27","U","2020-04-04 02:40:00.0","","198966.805968344    ","452027.574753972    ",""
"3000000","PHMH320123000034087500047","20121112","20171031","03","폐업","03","폐업","20171031","","","","02-742-9669","","110460","서울특별시 종로구 연건동 208번지","서울특별시 종로구 율곡로 197-0 (연건동)","03081","세븐일레븐 종로이화점","2017-10-31 17:23:56","I","2018-08-31 23:59:59.0","","199987.711034733    ","452656.293375943    ",""
"3000000","PHMH320123000034087500048","20121112","","03","폐업","03","폐업","20201020","","","","","","110111","서울특별시 종로구 관철동 45번지 1호","서울특별시 종로구 우정국로2길 21 (관철동)","03189","GS 종각점","2020-10-20 13:35:39","U","2020-11-17 02:40:00.0","","198541.72075378     ","451935.633974889    ",""
"3000000","PHMH320123000034087500049","20121112","20140527","03","폐업","03","폐업","20140527","","","","02-7419669","","110500","서울특별시 종로구 이화동 205번지 2호","서울특별시 종로구 율곡로 218-0 (이화동)","110500","세븐일레븐 종로율곡점","2014-05-27 17:22:49","I","2018-08-31 23:59:59.0","","200200.329028814    ","452629.306552716    ",""
"3000000","PHMH320123000034087500050","20121112","20140331","03","폐업","03","폐업","20140331","","","","","","110230","서울특별시 종로구 삼청동 122번지","서울특별시 종로구 삼청로 123-1 (삼청동)","110230","씨유 종로삼청동길점","2014-03-31 16:09:36","I","2018-08-31 23:59:59.0","","198301.707230582    ","453805.253388222    ",""
