,시군구,2017년,2017년범죄율,2018년,2018년범죄율,2019년,2019년범죄율
0,강남구,61,1.3759865395720894,70,1.3723552524143625,71,1.3274955516903577
1,강동구,28,0.9676196012798649,32,0.9073439525838118,32,0.9114648379845137
2,강북구,14,1.0344449119212686,16,1.0643667838285618,16,1.2080769291301405
3,강서구,27,0.8442182966025762,29,0.7668846326524864,32,0.8230356375768253
4,관악구,14,1.060605188039061,15,0.9664641181447581,17,1.029895580031469
5,광진구,11,1.2479250492884733,11,1.0550769006880234,12,1.0929989208985973
6,구로구,17,1.108572127394074,21,1.0969563452424935,22,1.071304205329892
7,금천구,12,1.288014170128328,12,1.296349514410226,14,1.233023588277341
8,노원구,19,0.7541997043408144,20,0.7309909515469936,21,0.7729344522550591
9,도봉구,18,0.5773551990850119,20,0.6582779402252018,18,0.6286666011184903
10,동대문구,30,1.0860329334364267,30,1.01005110639022,32,1.0170154508116565
11,동작구,12,0.8151914475890651,13,0.7572334110922482,13,0.8314747427319324
12,마포구,9,1.3681266411428186,9,1.3386513579339423,10,1.254647923819395
13,서대문구,13,0.9577636388249627,13,0.8672774545004333,13,0.9106633949209553
14,서초구,27,1.0570250179052136,28,1.0785940392045883,29,1.2737096852038694
15,성동구,11,0.8848425543073317,11,0.7763940808246146,12,0.8130002362620113
16,성북구,13,0.7540507721664358,16,0.6794925919224816,15,0.6326636525165807
17,송파구,32,0.8307843134333474,32,0.8622033624000939,37,0.8345770943886481
18,양천구,17,0.8172321890959922,19,0.7508357453353128,20,0.6952421125496177
19,영등포구,27,1.4847372296181323,30,1.4469772051536176,30,1.4514222441681257
20,용산구,3,1.6609121107492921,3,1.3917336488636827,3,1.3512245855170586
21,은평구,21,0.7905098106278069,22,0.7361595846337453,23,0.8007495676365093
22,종로구,7,2.4699099581752986,8,2.2634426410511206,8,2.3759954036906388
23,중구,13,3.1086312066749384,13,2.971253308560601,13,3.1702420725631555
24,중랑구,18,1.1073695430980184,18,1.0506018664843793,18,1.0616281615027958
