"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3190000","PHMH320123190033087500001","20121226","","03","폐업","03","폐업","20200609","","","","02-821-2228","","","서울특별시 동작구 노량진동","서울특별시 동작구 장승배기로 172 (노량진동, 한성학사)","06922","GS25 노량하늘점","2020-06-10 16:54:18","U","2020-06-12 02:40:00.0","","194660.209040651    ","445637.110993418    ",""
"3190000","PHMH320123190033087500002","20121113","","03","폐업","03","폐업","20160202","","","","","","","","서울특별시 동작구 흑석로 114 (흑석동)","06972","GS25 흑석로점","2016-02-02 13:24:04","I","2018-08-31 23:59:59.0","","196529.197049418    ","445144.587171852    ",""
"3190000","PHMH320123190033087500004","20121108","","03","폐업","03","폐업","20160330","","","","","","","","서울특별시 동작구 노량진로 196 (노량진동, 노량빌딩)","06913","미니스톱 노량진점","2016-03-30 17:39:42","I","2018-08-31 23:59:59.0","","195288.372449317    ","445641.285274666    ","39.7"
"3190000","PHMH320123190033087500005","20121114","","03","폐업","03","폐업","20160401","","","","","","","","서울특별시 동작구 장승배기로4길 9 (상도동, 상도 더 샵 아파트)","06966","씨유 보라매타운점","2016-04-01 18:19:03","I","2018-08-31 23:59:59.0","","195131.84940500000  ","444862.58426100000  ",""
"3190000","PHMH320123190033087500006","20121224","","03","폐업","03","폐업","20160427","","","","","","","","서울특별시 동작구 동작대로3길 10 (사당동)","07015","바이더웨이 사당중앙점","2016-04-27 16:48:49","I","2018-08-31 23:59:59.0","","198233.48497169     ","441808.553923544    ",""
"3190000","PHMH320123190033087500007","20121106","","03","폐업","03","폐업","20160608","","","","","","","","서울특별시 동작구 상도로 369 (상도동, 숭실대학교)","06978","GS25 숭실학사점","2016-06-09 09:23:16","I","2018-08-31 23:59:59.0","","196147.389253733    ","443795.142708592    ","138.6"
"3190000","PHMH320123190033087500008","20121106","","03","폐업","03","폐업","20181226","","","","815-8347","","","","서울특별시 동작구 흑석로 83 (흑석동)","06910","세븐일레븐 중앙대점","2018-12-27 10:50:27","U","2018-12-29 02:40:00.0","","196287.998478048    ","445003.785565347    ",""
"3190000","PHMH320123190033087500009","2012-11-06","","01","영업/정상","13","영업중","","","","","02-836-6068","","","서울특별시 동작구 신대방동 395번지 66호 보라매삼성쉐르빌","서울특별시 동작구 보라매로5길 43 (신대방동, 보라매삼성쉐르빌)","07071","씨유 보라매이글점","2023-02-20 17:24:54","U","2022-12-01 22:02:00.0","","193153.177033349","443251.121433059",""
"3190000","PHMH320123190033087500010","20121106","","01","영업/정상","13","영업중","","","","","02-3289-1777","","","","서울특별시 동작구 신대방1가길 38 (신대방동, 동작상떼빌아파트)","07072","GS25 동작상떼빌점","2019-01-11 13:14:24","U","2019-01-13 02:40:00.0","","191691.678396263    ","442818.113681285    ",""
"3190000","PHMH320123190033087500011","20121106","","03","폐업","03","폐업","20200303","","","","02-815-9381","","","","서울특별시 동작구 성대로1길 17-2 (상도동)","06959","씨유 상도4동점","2020-03-03 18:01:17","U","2020-03-05 02:40:00.0","","194092.314410386    ","444330.473857332    ","56.1"
